season,variable,week,metric,model,n_init,point,ci_lo,ci_hi
jfm,tp,2,spread_skill_ratio,spire,90,1.2444039140752505,1.1544945610359212,1.334964370249507
jfm,tp,2,spread_skill_ratio,ukmo,90,0.3294846712237929,0.3010752311678563,0.35846883640307886
jfm,tp,3,spread_skill_ratio,ecmwf,90,0.6983270705321789,0.6284791343118921,0.7698771839444606
jfm,tp,3,spread_skill_ratio,fuxi,90,0.39419625420227883,0.3511378003193485,0.4380389820916147
jfm,tp,3,spread_skill_ratio,ncep,90,0.4259734584511452,0.3744509616234043,0.47931283972023525
jfm,tp,3,spread_skill_ratio,spire,90,1.4280460711487988,1.3101715543249879,1.5478764195256054
jfm,tp,3,spread_skill_ratio,ukmo,90,0.44473252937260377,0.404452968164941,0.4859971077424007
jfm,tp,4,spread_skill_ratio,ecmwf,90,0.652751435342814,0.5859620044595459,0.7214440486595667
jfm,tp,4,spread_skill_ratio,fuxi,90,0.4551995357393,0.40056891279327334,0.5135350677647395
jfm,tp,4,spread_skill_ratio,ncep,90,0.4613776315803051,0.4108796740543704,0.5198454690484596
jfm,tp,4,spread_skill_ratio,spire,90,1.391710061461888,1.278219964467614,1.5052260790643945
jfm,tp,4,spread_skill_ratio,ukmo,90,0.49497350601126305,0.45242166874476825,0.5370452421882486
jfm,tp,5,spread_skill_ratio,ecmwf,90,0.5878857836116705,0.5192279001504723,0.6584199265960585
jfm,tp,5,spread_skill_ratio,fuxi,90,0.4461273907679997,0.3904891048230491,0.5045175854086557
jfm,tp,5,spread_skill_ratio,ncep,90,0.5016712832166094,0.45362819327580045,0.5519474628562806
jfm,tp,5,spread_skill_ratio,spire,90,1.2364326977597748,1.1301400410877995,1.345663402528876
jfm,tp,5,spread_skill_ratio,ukmo,90,0.44832835066552484,0.405781551463213,0.49253917198846847
jfm,tp,6,spread_skill_ratio,ecmwf,90,0.5174964145165528,0.46502787383698,0.5708045472142896
jfm,tp,6,spread_skill_ratio,fuxi,90,0.39397205639702954,0.35257836965426914,0.43749410064206656
jfm,tp,6,spread_skill_ratio,ncep,90,0.4872952844197167,0.45110332691106,0.5238912049758762
jfm,tp,6,spread_skill_ratio,spire,90,1.1719878437187152,1.0835157933239041,1.2607854641738918
jfm,tp,6,spread_skill_ratio,ukmo,90,0.4614200281831632,0.4217558392200093,0.5018383485955483
jfm,z500,1,acc,delysm,90,0.9210252432674668,0.8898786920265156,0.9446530401582932
jfm,z500,1,acc,ecmwf,90,0.9730534491236484,0.9628478084584676,0.9810646782110418
jfm,z500,1,acc,fuxi,90,0.8907999277167428,0.8573156247571952,0.9195346075736996
jfm,z500,1,acc,mme,90,0.9668220731593915,0.9540932703852046,0.9767163926937317
jfm,z500,1,acc,ncep,90,0.9033008825832753,0.8792043806405982,0.924205399232017
jfm,z500,1,acc,spire,90,0.9401461400631553,0.9187286983230265,0.958113334810776
jfm,z500,1,acc,ukmo,90,0.9552972027354548,0.9402433404957593,0.9666606672638419
jfm,z500,2,acc,delysm,90,0.6236083950589038,0.5443240009724433,0.6990358971381085
jfm,z500,2,acc,ecmwf,90,0.8627804438476845,0.8346261306180714,0.8881907746381513
jfm,z500,2,acc,fuxi,90,0.5613663886674458,0.48273716307413855,0.638202784588739
jfm,z500,2,acc,mme,90,0.8619236156007117,0.8399177628070666,0.8829509467923565
jfm,z500,2,acc,ncep,90,0.6341807221402438,0.5544428061051383,0.7057932060138041
jfm,z500,2,acc,spire,90,0.8529815231358556,0.8284429839650678,0.8761039653923045
jfm,z500,2,acc,ukmo,90,0.7437580575388613,0.697023730885677,0.7872548478305826
jfm,z500,3,acc,delysm,90,0.2522050250586754,0.14595296757786244,0.3558084939177842
jfm,z500,3,acc,ecmwf,90,0.6477621774837368,0.5855131479400953,0.7058646825572132
jfm,z500,3,acc,fuxi,90,0.11245638899154241,0.003148781162157195,0.2207372286440714
jfm,z500,3,acc,mme,90,0.6285157772715552,0.5553318706540736,0.6956407983649053
jfm,z500,3,acc,ncep,90,0.39916217398909043,0.28100557822085503,0.5087919735719699
jfm,z500,3,acc,spire,90,0.6597757691033012,0.5868864234713164,0.7241089054973666
jfm,z500,3,acc,ukmo,90,0.505708161563316,0.41541463489728214,0.5910192832179514
jfm,z500,4,acc,delysm,90,-0.18967273580229643,-0.3010842376797101,-0.07634983219027461
jfm,z500,4,acc,ecmwf,90,0.49037948156683175,0.40899374253110976,0.5668115715261242
jfm,z500,4,acc,fuxi,90,-0.14803362129701775,-0.2639548122176477,-0.025996996884955558
jfm,z500,4,acc,mme,90,0.40562285848833013,0.3074458603459619,0.5006821008901009
jfm,z500,4,acc,ncep,90,0.40683836139425944,0.2891438669421591,0.5153100378428315
jfm,z500,4,acc,spire,90,0.5057448289737002,0.4046671500932419,0.599803951326225
jfm,z500,4,acc,ukmo,90,0.4102098784498441,0.30262847398263176,0.5135887642943526
jfm,z500,5,acc,delysm,90,-0.36003657751538026,-0.47115034980407794,-0.24171685843145313
jfm,z500,5,acc,ecmwf,90,0.31552722593673327,0.2077821559454144,0.4188027471122076
jfm,z500,5,acc,fuxi,90,-0.2660087325595927,-0.3745023037000611,-0.1486730327082
jfm,z500,5,acc,mme,90,0.4027221392550823,0.3002121561012666,0.4978559765064331
jfm,z500,5,acc,ncep,90,0.4072471685498996,0.2850237350293293,0.5166777151671255
jfm,z500,5,acc,spire,90,0.392252532606278,0.26532519327645365,0.5118427376980119
jfm,z500,5,acc,ukmo,90,0.3918676707472758,0.2788904469456649,0.4952490595084255
jfm,z500,6,acc,delysm,90,-0.3270242853808896,-0.4405400428935914,-0.21004685548434274
jfm,z500,6,acc,ecmwf,90,0.1286703173096975,0.021353430819145876,0.23233988462388008
jfm,z500,6,acc,fuxi,90,-0.18434759579990642,-0.2974208851515592,-0.06808886319008811
jfm,z500,6,acc,mme,90,0.3215714178071742,0.21855616964924782,0.42117149743626797
jfm,z500,6,acc,ncep,90,0.37214163758497737,0.2546689186399686,0.4784776591660786
jfm,z500,6,acc,spire,90,0.41000667719263956,0.2928630923139984,0.5184436111725561
jfm,z500,6,acc,ukmo,90,0.32342241317720655,0.20940911672183954,0.4320949836227347
jfm,z500,1,rmse,delysm,90,11.469830322328193,10.347822501948835,12.591384323834777
jfm,z500,1,rmse,ecmwf,90,5.511151684732592,5.055155297679497,6.007782895554682
jfm,z500,1,rmse,fuxi,90,8.38105997566017,7.791879494962251,8.987956511098957
jfm,z500,1,rmse,mme,90,5.992919376464092,5.578677890917201,6.422376997125018
jfm,z500,1,rmse,ncep,90,17.980356523904845,16.62147400061263,19.417662040358945
jfm,z500,1,rmse,spire,90,12.693111431630928,11.64578301073251,13.763429171871834
jfm,z500,1,rmse,ukmo,90,6.896190656840545,6.3759000105113826,7.431506836475705
jfm,z500,2,rmse,delysm,90,21.71338026739448,19.796059897125204,23.65602400892734
jfm,z500,2,rmse,ecmwf,90,15.660557379523782,13.768013392211323,17.594956867509655
jfm,z500,2,rmse,fuxi,90,24.322836611138214,21.990722224695016,26.70976024118389
jfm,z500,2,rmse,mme,90,17.580034857700916,15.91473091208658,19.36342764376022
jfm,z500,2,rmse,ncep,90,32.86257552227492,29.200735924426837,36.69444988629892
jfm,z500,2,rmse,spire,90,18.833705569714954,17.0187809490776,20.7599745092989
jfm,z500,2,rmse,ukmo,90,20.870270244015042,18.727083762785607,23.157809901521247
jfm,z500,3,rmse,delysm,90,29.865112858851898,26.99929070753584,32.99580981356422
jfm,z500,3,rmse,ecmwf,90,23.060783036501057,20.1979738152049,26.179124571400425
jfm,z500,3,rmse,fuxi,90,35.893220354053625,32.620948330591325,39.30020177091664
jfm,z500,3,rmse,mme,90,24.87044138533844,21.91328174364436,28.155786186461984
