season,variable,week,metric,model_a,model_b,n_init,diff,ci_lo,ci_hi,p_value,significant_95
jfm,tp,3,bias,ecmwf,fuxi,90,-0.014021072134057233,-0.0861014065164021,0.057904676090289826,0.6878,False
jfm,tp,3,bias,ecmwf,ncep,90,0.003937088250576454,-0.06881192336431267,0.07288210984025847,0.8996,False
jfm,tp,3,bias,ecmwf,spire,90,-0.2788762151800367,-0.32731323718239763,-0.23242875373507782,0.0,True
jfm,tp,3,bias,ecmwf,ukmo,90,-0.38110980728655,-0.485472248974881,-0.2859387472416488,0.0,True
jfm,tp,3,bias,fuxi,ncep,90,0.017958160384633687,-0.0625068907212133,0.09742673376320478,0.645,False
jfm,tp,3,bias,fuxi,spire,90,-0.26485514304597946,-0.32491475612463244,-0.20426522422847324,0.0,True
jfm,tp,3,bias,fuxi,ukmo,90,-0.36708873515249274,-0.4909209214044104,-0.2480157526462998,0.0,True
jfm,tp,3,bias,ncep,spire,90,-0.2828133034306131,-0.35094724623351753,-0.2161057688497329,0.0,True
jfm,tp,3,bias,ncep,ukmo,90,-0.3850468955371264,-0.5034901575395493,-0.27379544508683784,0.0,True
jfm,tp,3,bias,spire,ukmo,90,-0.10223359210651327,-0.20472501628176062,-0.007314023085053078,0.0312,True
jfm,tp,4,bias,ecmwf,fuxi,90,0.10698498449776503,0.055641048504126246,0.15786652308658355,0.0,True
jfm,tp,4,bias,ecmwf,ncep,90,-0.11641530502773188,-0.2065132096731708,-0.024591010301637375,0.0118,True
jfm,tp,4,bias,ecmwf,spire,90,-0.2970915011577087,-0.335435756525942,-0.2591161344069644,0.0,True
jfm,tp,4,bias,ecmwf,ukmo,90,-0.32957007019619333,-0.4152547253257975,-0.24363976087192885,0.0,True
jfm,tp,4,bias,fuxi,ncep,90,-0.2234002895254969,-0.3258134322141569,-0.12076344011338246,0.0,True
jfm,tp,4,bias,fuxi,spire,90,-0.4040764856554737,-0.4606064019337514,-0.34647309927612374,0.0,True
jfm,tp,4,bias,fuxi,ukmo,90,-0.4365550546939584,-0.5381546554953599,-0.3337624479194371,0.0,True
jfm,tp,4,bias,ncep,spire,90,-0.18067619612997682,-0.2495064460173116,-0.11379392502516425,0.0,True
jfm,tp,4,bias,ncep,ukmo,90,-0.2131547651684615,-0.30182847343350583,-0.1255501638699407,0.0,True
jfm,tp,4,bias,spire,ukmo,90,-0.03247856903848466,-0.11379472184803403,0.049630722767723665,0.4378,False
jfm,tp,5,bias,ecmwf,fuxi,90,0.04144109842027949,0.0005819469236351593,0.08080795539136343,0.0476,True
