season,variable,model,region,init_date,scale,lead,week,clim_basis,event,brier,brier_clim,briss_clim,base_rate
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.10819075374157025,0.12461590040512055,0.13180618693242918,0.04051436788202836
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.12156069400694505,0.12956062988138994,0.06174665777534938,0.05534855631083661
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.16774536035078272,0.13924479629230702,-0.20467956302400303,0.08440105554358772
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.07613859225783548,0.12463037677406107,0.3890847943446002,0.040557796988849905
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.0892807711520623,0.12331268167902545,0.27598062148665214,0.03660471170374307
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.17812639946753236,0.12396854460444026,-0.4368677154023175,0.03857230047998749
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.17553264631191726,0.11949890597423735,-0.4689058856301176,0.02516338458937872
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.1677546232137741,0.12142248741398877,-0.38157788385454805,0.03093412890863304
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.18925901463085937,0.12462440752985507,-0.5186352206771407,0.04053988925623191
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.0003761992343583552,0.1117160002084153,0.9966325393528543,0.001814667291912565
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.0025983231291550426,0.1117160002084153,0.9767417100119261,0.001814667291912565
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.028766216562383526,0.11234533161637382,0.7439482696031228,0.0037026615157880562
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.057751280576818685,0.11234533161637382,0.4859485503676977,0.0037026615157880562
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.08676875153748169,0.11295879044630926,0.23185481010684184,0.005543038005594375
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.09545158470735257,0.11234533161637382,0.1503733770327762,0.0037026615157880562
JFM2026,TP,ECMWF,northwest_india,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.12957660187503497,0.11515148071707486,-0.12527082646381582,0.01212110881789122
JFM2026,TP,ECMWF,northwest_india,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.09082986398390475,0.11812155944856817,0.231047537740531,0.02103134501237116
JFM2026,TP,ECMWF,northwest_india,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.08667670457408824,0.11352859498058508,0.23652094356570585,0.007252451608421883
JFM2026,TP,ECMWF,northwest_india,2026-01-01,weekly,4,Week 4,era5,tp_below_normal,0.06579015579942823,0.11235432736816633,0.41444039281331013,0.003729648771165632
JFM2026,TP,ECMWF,northwest_india,2026-01-01,weekly,5,Week 5,era5,tp_below_normal,0.10146226820089199,0.11476201657474888,0.11588981067785831,0.010952716390913246
JFM2026,TP,ECMWF,northwest_india,2026-01-01,weekly,6,Week 6,era5,tp_below_normal,0.21799374576901084,0.12185772169973505,-0.7889202483709723,0.0322398317658718
JFM2026,TP,ECMWF,south_peninsula,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.07478279403409813,0.11577490400410206,0.3540673198791988,0.013991378678972778
JFM2026,TP,ECMWF,south_peninsula,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.11057200171293023,0.11242283696194075,0.016463160857941084,0.003935177552488845
JFM2026,TP,ECMWF,south_peninsula,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.1325992260323699,0.11442172764239615,-0.15886404413315747,0.009931849593855055
