season,variable,model,region,init_date,scale,lead,week,clim_basis,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JFM2026,TP,ECMWF,All India,2026-01-01,daily,27,Week 4,era5,0.8090353540613181,0.8328084171254592,0.5090079503780803,0.028545656570327038,-0.5894355941992335,2.5416049402057244,1.6934409238889083,1.500852438577572
JFM2026,TP,ECMWF,All India,2026-01-01,daily,28,Week 4,era5,0.7153243869491349,0.673354607115795,0.27413282906042485,-0.06232938690820089,-1.609407962559135,2.3392930882260186,1.4216574505140818,1.6454688767537589
JFM2026,TP,ECMWF,All India,2026-01-01,daily,29,Week 5,era5,0.5690814546908545,0.6684234747140648,0.15588105078112244,0.14862138117711443,-2.6507417151679324,1.9729667513792224,1.0851720296444713,1.8181142689658285
JFM2026,TP,ECMWF,All India,2026-01-01,daily,30,Week 5,era5,0.5770778880617276,0.7090411152932883,0.2674678541332314,0.18611505649707683,-1.1575597932388275,2.030779642462489,0.9339463911116062,2.1744070770972246
JFM2026,TP,ECMWF,All India,2026-01-01,daily,31,Week 5,era5,0.6920567425541844,0.7895986295103918,0.6857333113994102,0.12353350589867473,-0.009221414578605813,2.190498352785996,1.3758136547482431,1.592147559537654
JFM2026,TP,ECMWF,All India,2026-01-01,daily,32,Week 5,era5,0.652309555753165,0.7488685930097584,0.26607941789518713,0.12893989433915964,-1.4515596167236051,2.1764574247220687,1.1191287743921707,1.9447783619933836
JFM2026,TP,ECMWF,All India,2026-01-01,daily,33,Week 5,era5,0.5853895273101066,0.691336765484413,0.3915457381459124,0.15324982477978033,-0.4950731684173175,2.0378538133564907,0.8465421207700953,2.407268065412581
JFM2026,TP,ECMWF,All India,2026-01-01,daily,34,Week 5,era5,0.5356240084187176,0.7201633750770037,0.19191018488514394,0.256246531057698,-1.7910139773940736,1.893009700468585,0.8775990881184185,2.1570324378153325
JFM2026,TP,ECMWF,All India,2026-01-01,daily,35,Week 5,era5,0.5234685360266235,0.7181841996299051,0.17324308111329337,0.27112217687833085,-2.021584080949807,1.8749557361703477,0.9493458074810353,1.974997647216979
JFM2026,TP,ECMWF,All India,2026-01-01,daily,36,Week 6,era5,0.5126732521960038,0.7231102845146085,0.15159550706939964,0.291016511347037,-2.3818499116949727,1.7147277798898504,1.0429022936909562,1.6441883293028565
JFM2026,TP,ECMWF,All India,2026-01-01,daily,37,Week 6,era5,0.7917085609807725,0.7376822738425256,0.24519638644578162,-0.07323788174660684,-2.228875320949466,2.598847613505868,1.513076203803609,1.717592020132773
JFM2026,TP,ECMWF,All India,2026-01-01,daily,38,Week 6,era5,0.5466611879022999,0.7301308911506156,0.18749862914129892,0.25128330477729166,-1.9155476517662224,1.922222841858438,1.007595549109339,1.907732565469926
JFM2026,TP,ECMWF,All India,2026-01-01,daily,39,Week 6,era5,0.42605202412315385,0.7321111349983981,0.13937202745098207,0.41805006951016244,-2.0569407069363237,1.5383691330194076,0.7621956979754603,2.0183387771744377
JFM2026,TP,ECMWF,All India,2026-01-01,daily,40,Week 6,era5,0.5275695378476059,0.7368200797029278,0.3043801385388198,0.28399136725438856,-0.7332587480254436,1.7612949016985244,1.1387110751131413,1.5467443324229755
JFM2026,TP,ECMWF,All India,2026-01-01,daily,41,Week 6,era5,0.5689363410695594,0.7630417694912227,0.17149321386260127,0.25438375221724496,-2.3175443404156257,2.0669111403147986,0.9168905787416997,2.2542615097554353
JFM2026,TP,ECMWF,All India,2026-01-01,daily,42,Week 6,era5,0.7283603511866251,0.7562215819081227,0.2107058396082789,0.03684268128290813,-2.456763953674528,2.5850272910625276,1.1766166943629537,2.1970003514714014
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,1,Week 1,era5,0.12853416237015128,0.6271964125203621,0.15160829084522537,0.7950655332136831,0.15219569026492175,0.1440383378353037,0.4177064136021081,0.3448315207640297
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,2,Week 2,era5,0.1959383338084928,0.7312262533120594,0.3993227933397195,0.7320414400864328,0.5093234418957888,0.6099915281363544,0.621262889135308,0.9818573405943474
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,3,Week 3,era5,0.342881547079951,0.6635975244967515,0.2178651165994317,0.4832989358422034,-0.573824907960715,0.8668323426295615,0.7782792204870869,1.1137806584210916
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,4,Week 4,era5,0.8470273650447068,1.0057991433240256,1.239019102414872,0.15785634670019733,0.3163726342928578,1.4085006994966964,2.2218923642884683,0.6339194112797405
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,5,Week 5,era5,0.3634501373654844,0.6595216429663898,0.22559250381573842,0.4489185590168625,-0.6110913759011543,1.0842699388582404,0.701829349718977,1.5449196293834082
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,6,Week 6,era5,0.4018971433911339,0.7138515069336072,0.12358888822215189,0.4370017580862052,-2.251887359555505,1.116002357715918,0.8742116216153947,1.2765814708042145
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,1,Week 1,era5,0.08317909526991359,0.24379125216879446,0.039563901555303545,0.6588101725146289,-1.102398701848034,0.09774727823058368,0.21740611773106727,0.4496068429477117
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,2,Week 1,era5,0.05962789706651084,0.23889352007662207,0.05481952516691893,0.7503996883323334,-0.08771276082656665,0.0770429842519652,0.15584136379329305,0.4943680058790713
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,3,Week 1,era5,0.033708679576205526,0.23763099022855086,0.038021980400316416,0.8581469548909219,0.11344229781558124,0.05780546998544377,0.07073108391268333,0.8172569510853803
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,4,Week 1,era5,0.019824766740962806,0.24041596871637014,0.024490256913470315,0.9175397256396434,0.19050392933776705,0.06300667082265207,0.03805235459934974,1.6557890171592369
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,5,Week 1,era5,0.012281132174351539,0.24313508379275636,0.017483260560461688,0.9494884408174522,0.29754909664131746,0.0509787349068607,0.006891138313587038,7.397723363982922
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,6,Week 1,era5,0.017109849974098854,0.2439966579631402,0.01749350529550344,0.9298767035707367,0.02193130049831704,0.07198202732559857,0.014082959491606267,5.111285548218848
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,7,Week 1,era5,0.014163100354642561,0.24484087059561024,0.01748827237705487,0.9421538556034832,0.1901372503080997,0.05903413582209253,0.013753296948336649,4.292362481799844
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,8,Week 2,era5,0.021852030770049664,0.24545306523335256,0.01749382859185829,0.910972671091824,-0.24912797992199942,0.09059632096401067,0.025460094469064012,3.5583654677358805
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,9,Week 2,era5,0.03681017407991424,0.2442520954126226,0.021843944365859583,0.849294336583972,-0.685143189498584,0.14859838630685515,0.04290182663851904,3.463684368474823
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,10,Week 2,era5,0.09409963696460356,0.24472536698049396,0.02335138162116892,0.6154888309060995,-3.02972460007671,0.385077900940425,0.09136738223571592,4.214610198057051
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,11,Week 2,era5,0.17474350398194716,0.24737680072871154,0.01750243172444462,0.29361401931306597,-8.983955757295893,0.7174942612775133,0.14825700360702332,4.839530300904609
