method,season,year,model,week,n_cases,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,JJAS,2023,ERPAS,4,17,0.08930081722173658,0.09868567933525675,0.04162895389208945,-0.08906956242824994,0.28477925200421156,6.010359297046638,4.4359604109300195,1.1749254413997903
common_imd_1991_2020,JJAS,2023,FuXi-S2S,1,17,0.5243505363596924,0.5406113866539124,0.53200700372852,0.45466409767452476,0.6150080612404033,5.444900854733181,3.357114875214073,-0.1809170882694721
common_imd_1991_2020,JJAS,2023,FuXi-S2S,2,17,0.29766122095242054,0.3475066501702058,0.37991708602230195,-0.019678933449109696,0.5504521784080915,6.199645283205971,4.015116858368324,-0.18435123539088719
common_imd_1991_2020,JJAS,2023,FuXi-S2S,3,17,0.24122390947261885,0.2625432255460114,0.22676219906407444,0.03733289864080977,0.41490438166958965,5.756396203851908,3.884983645657137,-0.06998477962696859
common_imd_1991_2020,JJAS,2023,FuXi-S2S,4,17,0.15754847703869157,0.1796350796221367,0.1799923578696689,-0.058553852353059425,0.32625733877119956,5.750125272636647,3.9680600203994905,0.6036356400845657
common_imd_1991_2020,JJAS,2024,ERPAS,1,14,0.4276595392071118,0.4555692530442025,0.460589789211782,0.27736744474881037,0.617823286845867,6.0614677865150695,4.094872007430128,0.44901544781864544
common_imd_1991_2020,JJAS,2024,ERPAS,2,14,0.14480031449013903,0.15102556871443018,0.17690153908035486,0.012505664720875833,0.32521594978184976,6.996141954424358,4.761757798806819,0.8062220728869978
common_imd_1991_2020,JJAS,2024,ERPAS,3,14,0.04011445748648064,0.03981702984475951,0.06272027622280148,-0.03020543248340253,0.19723446940782138,6.89434944004265,5.0306829189507365,1.1785488565918285
common_imd_1991_2020,JJAS,2024,ERPAS,4,14,0.0784816381435334,0.08297188150987246,0.09574678739612245,-0.13439351113420273,0.2795016363767049,6.685331512073899,4.692933896401521,0.08157870416947001
common_imd_1991_2020,JJAS,2024,FuXi-S2S,1,14,0.42818133186983004,0.4435846912532348,0.4321365338322084,0.3240830519691433,0.5364358811007433,6.088296891968788,3.94610069157894,0.08156764594153555
common_imd_1991_2020,JJAS,2024,FuXi-S2S,2,14,0.2955165381195082,0.3092729969638117,0.36293251934613624,0.19722447629693587,0.4297813561896582,6.846056774205995,4.4142441004123665,0.10783037290946365
common_imd_1991_2020,JJAS,2024,FuXi-S2S,3,14,0.159797172530852,0.1665275869896599,0.162029913830708,0.02188812139369152,0.27405525570055034,6.311197453462252,4.3072385573194785,-0.05860409262914155
common_imd_1991_2020,JJAS,2024,FuXi-S2S,4,14,0.16462042995374634,0.16977739563242736,0.21586747122634253,0.058336871803834546,0.3279085494524965,6.21926100265699,4.185095383753419,-0.1048166398710589
common_imd_1991_2020,JJAS,ALL,ERPAS,1,31,0.45879997217416174,0.48198505095460614,0.4590937339471707,0.31570199156250245,0.6171464343556432,5.793319001716377,3.7960027963785707,0.3972159723977992
common_imd_1991_2020,JJAS,ALL,ERPAS,2,31,0.17037699919415247,0.1829237778906315,0.13089044930911561,0.041143068278217815,0.32988692412706205,6.7905686142335036,4.747526554794322,1.0881298823132237
common_imd_1991_2020,JJAS,ALL,ERPAS,3,31,0.07126913442661915,0.0751531149801386,0.04556695223886276,-0.07663399840320337,0.2681446783310263,6.668229378813118,4.911628497882935,1.4534668241807642
common_imd_1991_2020,JJAS,ALL,ERPAS,4,31,0.08441473634770934,0.09159474182943096,0.047343159915813136,-0.09288782129421458,0.284758886240258,6.315185458671854,4.5520129527558595,0.6811559471667424
common_imd_1991_2020,JJAS,ALL,FuXi-S2S,1,31,0.48091928271910933,0.49831475791405544,0.46389009341963255,0.35423887085000216,0.6052665010638583,5.7354668070331325,3.623108469701432,-0.06237559539998477
common_imd_1991_2020,JJAS,ALL,FuXi-S2S,2,31,0.2966926545117504,0.3303733473091821,0.37951027355707867,0.09604201150074991,0.512271413864817,6.491573053335014,4.1953678709043425,-0.05239825099718031
common_imd_1991_2020,JJAS,ALL,FuXi-S2S,3,31,0.2044505444021435,0.21969942463981185,0.19479200102224847,0.02922029807243016,0.32974440577114267,6.006951606901741,4.075679412214323,-0.06484511453117575
common_imd_1991_2020,JJAS,ALL,FuXi-S2S,4,31,0.1607422622261357,0.1751875629915117,0.1799923578696689,-0.051205333010392186,0.3280503752899325,5.961993021678091,4.066075990946427,0.2836894491368643
common_imd_1991_2020,MAM,2023,ERPAS,1,14,0.4664543488943482,0.5430504306655878,0.5555088068187934,0.3289773150660469,0.7447779858370828,1.8423351122761198,1.1020801454013294,0.1166811425803803
