method,season,year,week,n_cases,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,JF,2023,1,8,0.604383855988397,0.6142569682349477,0.5586291422828191,0.5689930202292258,0.010363877946406697,0.009873112246550741
common_imd_1991_2020,JF,2023,2,8,0.4317033424265193,0.2963266657072476,0.39119165136816303,0.27729859733656614,-0.11389305403159689,-0.13537667671927173
common_imd_1991_2020,JF,2023,3,8,0.320012019509555,0.22248523678102128,0.2862749776384257,0.18605930776281193,-0.10021566987561376,-0.09752678272853371
common_imd_1991_2020,JF,2023,4,8,0.2610079032026496,0.3147926342425867,0.2281199696815448,0.2551591833838507,0.027039213702305886,0.053784731039937084
common_imd_1991_2020,JF,2024,1,9,0.7238372937619874,0.7636657697908814,0.6197252745095763,0.6295881382407226,0.00986286373114631,0.039828476028894055
common_imd_1991_2020,JF,2024,2,9,0.5864587354248443,0.3952642452993415,0.4710940864049726,0.3518238608987714,-0.1192702255062012,-0.19119449012550277
common_imd_1991_2020,JF,2024,3,9,0.19606803605791437,0.0011073664707636041,0.1767303668608646,-0.0002283158373217526,-0.17695868269818635,-0.19496066958715078
common_imd_1991_2020,JF,2024,4,9,-0.025264489724163463,0.08260277800338157,-0.03505183478542783,0.07446702434605551,0.10951885913148335,0.10786726772754504
common_imd_1991_2020,JF,ALL,1,17,0.6718920593921962,0.7007877783176443,0.5909741534616906,0.6010727885882535,0.01009863512656295,0.028895718925448066
common_imd_1991_2020,JF,ALL,2,17,0.517781563189077,0.34966819005582334,0.4334929405052975,0.31675314863420423,-0.11673979187109329,-0.16811337313325364
common_imd_1991_2020,JF,ALL,3,17,0.25545304408042585,0.10665866772967886,0.22828077193265808,0.0874364482098,-0.1408443237228581,-0.148794376350747
common_imd_1991_2020,JF,ALL,4,17,0.1118877180049738,0.19465879292672472,0.08879372025785343,0.15949862859913558,0.07070490834128215,0.08277107492175093
common_imd_1991_2020,JFM,2023,1,13,0.5742659697385275,0.6618378396967542,0.5259137381103522,0.6146900332798994,0.0887762951695471,0.08757186995822674
common_imd_1991_2020,JFM,2023,2,13,0.41620092940423015,0.31814909102561767,0.37241581597485174,0.30269636144742873,-0.06971945452742301,-0.09805183837861248
common_imd_1991_2020,JFM,2023,3,13,0.20189139380961835,0.2206004809598439,0.17695023154731146,0.1960378801012036,0.01908764855389214,0.01870908715022554
common_imd_1991_2020,JFM,2023,4,13,0.1336822001386155,0.2456109104762045,0.11067398137232357,0.20570608687657854,0.09503210550425498,0.111928710337589
common_imd_1991_2020,JFM,2024,1,13,0.630631907983854,0.6884965446263711,0.529731110533234,0.5703259203887584,0.04059480985552444,0.057864636642517064
common_imd_1991_2020,JFM,2024,2,13,0.4613913001828099,0.34073765959425667,0.35749246904272586,0.30342736905247625,-0.05406509999024961,-0.12065364058855321
common_imd_1991_2020,JFM,2024,3,13,0.10057914739465523,0.05988873195040102,0.08786561712443586,0.0551149496686271,-0.032750667455808756,-0.04069041544425421
common_imd_1991_2020,JFM,2024,4,13,-0.05976810294567338,0.1364534905640486,-0.06490026611528411,0.12587936876222783,0.19077963487751193,0.196221593509722
common_imd_1991_2020,JFM,ALL,1,26,0.6032015454669677,0.6753877752101733,0.5278224243217932,0.592507976834329,0.06468555251253583,0.07218622974320565
common_imd_1991_2020,JFM,ALL,2,26,0.43907377582134216,0.32949052323920924,0.36495414250878877,0.30306186524995254,-0.061892277258836226,-0.10958325258213292
common_imd_1991_2020,JFM,ALL,3,26,0.1516335010110057,0.14117459297979096,0.13240792433587367,0.12557641488491533,-0.00683150945095834,-0.010458908031214742
common_imd_1991_2020,JFM,ALL,4,26,0.0373065615314515,0.19162470866368697,0.02288685762851974,0.16579272781940319,0.14290587019088344,0.15431814713223546
common_imd_1991_2020,JJAS,2023,1,17,0.5031032015920529,0.5406113866539124,0.48444503461761435,0.5243505363596924,0.039905501742078076,0.03750818506185949
common_imd_1991_2020,JJAS,2023,2,17,0.20890984107389074,0.3475066501702058,0.19144015130334005,0.29766122095242054,0.10622106964908049,0.13859680909631508
