method,season,year,region,week,n_cases,region_target_cells,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,ALL,ALL,east_northeast_india,2,101,36,0.2670628994647854,0.21986320053580172,0.216252852093982,0.1897760764868624,-0.026476775607119613,-0.04719969892898368
common_imd_1991_2020,ALL,ALL,east_northeast_india,3,101,36,0.11840835191203716,0.08845369296213407,0.09298259234726833,0.08128266718745386,-0.011699925159814467,-0.029954658949903096
common_imd_1991_2020,ALL,ALL,east_northeast_india,4,101,36,0.12167735454277658,0.03169788700607708,0.09498613879495035,0.029688624689731043,-0.0652975141052193,-0.0899794675366995
common_imd_1991_2020,ALL,ALL,northwest_india,1,101,68,0.5712793498444242,0.697198029269397,0.4284784985314421,0.5327661778107373,0.10428767927929522,0.1259186794249728
common_imd_1991_2020,ALL,ALL,northwest_india,2,101,68,0.3202915761108667,0.40755088755997476,0.2281955772601659,0.3257136451593296,0.0975180678991637,0.08725931144910803
common_imd_1991_2020,ALL,ALL,northwest_india,3,101,68,0.15148191951504747,0.2321824887772375,0.09733907900600454,0.1742746565713806,0.07693557756537607,0.08070056926219002
common_imd_1991_2020,ALL,ALL,northwest_india,4,101,68,0.07508499413391727,0.19392076169326933,0.0486755143086861,0.1479585604099077,0.0992830461012216,0.11883576755935206
common_imd_1991_2020,ALL,ALL,south_peninsula,1,101,38,0.6605692248444075,0.6536458764188768,0.5380613918928839,0.5264067149679731,-0.011654676924910845,-0.006923348425530662
common_imd_1991_2020,ALL,ALL,south_peninsula,2,101,38,0.42256832668114563,0.48459310030184977,0.31569354360515994,0.3414827870183259,0.025789243413165963,0.06202477362070413
common_imd_1991_2020,ALL,ALL,south_peninsula,3,101,38,0.2633456949374874,0.37255564117772827,0.1858303872900679,0.2781876362837873,0.09235724899371939,0.10920994624024088
common_imd_1991_2020,ALL,ALL,south_peninsula,4,101,38,0.23245035311729612,0.36314649009775607,0.1877539626241051,0.281114918252585,0.0933609556284799,0.13069613698045995
common_imd_1991_2020,JF,2023,central_india,1,8,64,0.9981757900752898,0.9938776127357645,0.925831259537047,0.9148775979893347,-0.010953661547712379,-0.004298177339525311
common_imd_1991_2020,JF,2023,central_india,2,8,64,0.9801140630361003,0.9892818779658193,0.7344523206006544,0.8065112978896662,0.0720589772890119,0.009167814929719076
common_imd_1991_2020,JF,2023,central_india,3,8,64,0.944637836542342,0.9363086066331577,0.6428499498149061,0.7919636587932961,0.14911370897839005,-0.008329229909184277
common_imd_1991_2020,JF,2023,central_india,4,8,64,0.8603606712807906,0.8869840955499398,0.5977643601090483,0.810516562174206,0.21275220206515766,0.02662342426914921
common_imd_1991_2020,JF,2023,east_northeast_india,1,8,36,0.6157967444210624,0.570436244327677,0.44950427173686797,0.4169167894655228,-0.03258748227134517,-0.045360500093385325
common_imd_1991_2020,JF,2023,east_northeast_india,2,8,36,0.307744191808396,0.2502055366158327,0.19062446765434124,0.19260843944642259,0.001983971792081346,-0.05753865519256329
common_imd_1991_2020,JF,2023,east_northeast_india,3,8,36,0.2691477892251729,0.036151039212206554,0.18865441132803973,0.05546792425617353,-0.1331864870718662,-0.23299675001296635
common_imd_1991_2020,JF,2023,east_northeast_india,4,8,36,0.15031025176775045,0.11453445975368604,0.0988614402690932,0.10459138328236259,0.005729943013269387,-0.03577579201406442
common_imd_1991_2020,JF,2023,northwest_india,1,8,68,0.6512050152771989,0.8007949464512626,0.5685208718618734,0.5832828358269715,0.014761963965098102,0.14958993117406372
common_imd_1991_2020,JF,2023,northwest_india,2,8,68,0.5213967513716747,0.23970558104537204,0.4582623641066389,0.21491527611805333,-0.24334708798858556,-0.2816911703263027
common_imd_1991_2020,JF,2023,northwest_india,3,8,68,0.48733117753713734,0.23003926726128343,0.36124217959885413,0.1709657714796354,-0.19027640811921873,-0.2572919102758539
common_imd_1991_2020,JF,2023,northwest_india,4,8,68,0.4035947314107002,0.4839627790012426,0.2930864677075848,0.32541604453789685,0.03232957683031207,0.08036804759054245
common_imd_1991_2020,JF,2023,south_peninsula,1,8,38,0.948618564761578,0.922739255872357,0.7945323732572787,0.7813662416074524,-0.013166131649826274,-0.025879308889221075
common_imd_1991_2020,JF,2023,south_peninsula,2,8,38,0.828211977102336,0.8613009216132251,0.489681430983998,0.5192571826608237,0.029575751676825635,0.03308894451088917
common_imd_1991_2020,JF,2023,south_peninsula,3,8,38,0.7557002317511632,0.8105724541284905,0.474808541613337,0.6784837063256162,0.20367516471227914,0.05487222237732736
common_imd_1991_2020,JF,2023,south_peninsula,4,8,38,0.2987353846343318,0.7044618814209546,0.2649536460460286,0.5657717212969885,0.3008180752509599,0.40572649678662276
common_imd_1991_2020,JF,2024,central_india,1,9,64,0.568742839911681,0.5914815380858217,0.4566311190652556,0.5323774625448332,0.0757463434795776,0.02273869817414076
common_imd_1991_2020,JF,2024,central_india,2,9,64,0.57439204934495,0.24506578748134883,0.4274940370809556,0.22316917258513844,-0.2043248644958172,-0.3293262618636012
common_imd_1991_2020,JF,2024,central_india,3,9,64,0.3679903947173173,0.18073394813986454,0.2790773152647714,0.024202728496010937,-0.25487458676876046,-0.18725644657745277
common_imd_1991_2020,JF,2024,central_india,4,9,64,0.1026769735949315,0.38153459171361115,0.06702762146908607,0.2737568505834743,0.20672922911438824,0.27885761811867965
common_imd_1991_2020,JF,2024,east_northeast_india,1,9,36,0.4552528230857084,0.5341953254902099,0.40082938914773286,0.4801984944764026,0.07936910532866975,0.07894250240450146
common_imd_1991_2020,JF,2024,east_northeast_india,2,9,36,0.28328679331926176,0.21160239217100338,0.25927155345044706,0.17507625267281515,-0.0841953007776319,-0.07168440114825839
common_imd_1991_2020,JF,2024,east_northeast_india,3,9,36,0.23401761531023912,-0.02741995715143424,0.2078369557096942,-0.014099997397831514,-0.22193695310752573,-0.2614375724616734
common_imd_1991_2020,JF,2024,east_northeast_india,4,9,36,0.036332257198403904,0.05380731002006481,0.03393949594737341,0.044941328071089644,0.011001832123716235,0.017475052821660904
common_imd_1991_2020,JF,2024,northwest_india,1,9,68,0.8501432968956253,0.896809790305368,0.6105406267347147,0.6116958100769336,0.0011551833422189794,0.046666493409742715
common_imd_1991_2020,JF,2024,northwest_india,2,9,68,0.708157079856417,0.6973718176537719,0.48673420361637326,0.5149593103811865,0.028225106764813213,-0.010785262202645085
common_imd_1991_2020,JF,2024,northwest_india,3,9,68,0.16550014181492417,0.05849323212771645,0.13491744605412787,0.0416848465510809,-0.09323259950304696,-0.10700690968720772
common_imd_1991_2020,JF,2024,northwest_india,4,9,68,-0.07760073731939723,0.1321157386182335,-0.08272463633232313,0.12838999302936055,0.21111462936168368,0.20971647593763074
