method,season,year,region,model,week,n_cases,region_target_cells,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,JJAS,2023,central_india,ERPAS,1,17,64,0.4767629330037914,0.5393079637918008,0.4503152413988255,0.278133633796243,0.6596636514174037,5.6052246416556475,4.081382739586742,0.6924641016364467
common_imd_1991_2020,JJAS,2023,central_india,ERPAS,2,17,64,0.17254035898563552,0.21739765367285588,-0.03789357793207864,-0.08225790812259025,0.5772158790812768,6.82315625879446,5.384961382679008,1.554636675367326
common_imd_1991_2020,JJAS,2023,central_india,ERPAS,3,17,64,0.1263855754434046,0.1477151076825309,0.14499189532780873,-0.12319076503636668,0.3485126106082506,6.823050636656227,5.349516739248803,1.0430964570404728
common_imd_1991_2020,JJAS,2023,central_india,ERPAS,4,17,64,0.13072873925301942,0.15263822504029592,0.10893592958353525,-0.1513253234604315,0.4321756638265355,6.320342443654962,4.901815158277169,0.6567175060327176
common_imd_1991_2020,JJAS,2023,central_india,FuXi-S2S,1,17,64,0.5284168420591859,0.5747603889580535,0.5070668103674544,0.36913219352910487,0.7693374957861248,5.28749273748399,3.7049055877858224,0.008922450524896822
common_imd_1991_2020,JJAS,2023,central_india,FuXi-S2S,2,17,64,0.3096754375768524,0.4582618327990319,0.4217833525584384,-0.15048485902704803,0.6352513309988591,6.1563347390936185,4.430029924845704,-0.13477604057131798
common_imd_1991_2020,JJAS,2023,central_india,FuXi-S2S,3,17,64,0.22392573502218166,0.2793988231359286,0.14451271895839285,0.047522031455696626,0.42349112088746405,6.255489972900939,4.6738792590326135,-0.027898220029066965
common_imd_1991_2020,JJAS,2023,central_india,FuXi-S2S,4,17,64,0.19554874481546441,0.3011237354155078,0.15152683876504497,-0.011625093376740876,0.3513343711185944,6.116524421488003,4.623133765244166,0.6428115193746481
common_imd_1991_2020,JJAS,2023,east_northeast_india,ERPAS,1,17,36,0.35615230361662187,0.3714006157063204,0.36334021084742907,0.3057658614510631,0.5688371087609273,6.907235096667476,4.915213227297801,0.4169692130716885
common_imd_1991_2020,JJAS,2023,east_northeast_india,ERPAS,2,17,36,0.08958404111411455,0.08968826564104627,0.14461958894086904,-0.116356656485255,0.31329894289456733,8.70817379569302,6.967143448563896,2.7332645939780487
common_imd_1991_2020,JJAS,2023,east_northeast_india,ERPAS,3,17,36,-0.05144530615359605,-0.057683136239230506,-0.07885084392884277,-0.24190942601786214,0.21714005054575808,8.320102572381629,6.793013876705629,3.818728508143182
common_imd_1991_2020,JJAS,2023,east_northeast_india,ERPAS,4,17,36,0.04642841233834094,0.07275161860177647,0.07968104035262137,-0.2986210835589918,0.27069754616524644,7.505994662202868,6.20165035428432,2.5510334145391518
