method,case_id,erpas_init,fuxi_init,year,init_month,season_memberships,week,valid_period_start,valid_period_end_exclusive,model,erpas_source_count,acc,rmse_mm_day,mae_mm_day,bias_mm_day
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,3,2023-04-20,2023-04-27,FuXi-S2S,20,-0.3727961470978738,2.657491177963316,1.6138587588779219,-0.585905202572215
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,4,2023-04-27,2023-05-04,FuXi-S2S,20,-0.0823196587401916,4.786743174241986,3.820123347438885,-2.922807749331714
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,1,2023-04-13,2023-04-20,ERPAS,20,0.7752689299852537,1.1250493871529599,0.5641706914410757,0.3200214862787244
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,2,2023-04-20,2023-04-27,ERPAS,20,0.2582737158424271,1.9828489484872087,1.3750493720018027,-0.27601373614009767
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,3,2023-04-27,2023-05-04,ERPAS,20,-0.24142671616684958,4.830694238390539,3.7189897757286365,-2.3398089156723136
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,4,2023-05-04,2023-05-11,ERPAS,20,-0.4000594725299516,4.143888543394375,2.0327082380856765,0.38379465221819736
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,1,2023-04-13,2023-04-20,FuXi-S2S,20,0.7895204168701979,0.9615187325972041,0.37342745806243666,-0.21286270782517364
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,2,2023-04-20,2023-04-27,FuXi-S2S,20,0.0802486993609204,2.2787518906479955,1.2905112969345995,-0.5848454578191192
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,3,2023-04-27,2023-05-04,FuXi-S2S,20,0.462657261317526,4.560020273832964,3.550687173114032,-3.3570988543193567
common_imd_1991_2020,paired_20230412,2023-04-12,2023-04-10,2023,4,MAM,4,2023-05-04,2023-05-11,FuXi-S2S,20,0.1493579718058761,2.3875430705032916,1.3479135031964689,-0.5906065722648831
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,1,2023-04-20,2023-04-27,ERPAS,20,-0.11545309565958897,2.410901317295589,1.5149976486705623,-0.3113498372376644
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,2,2023-04-27,2023-05-04,ERPAS,20,-0.007686513261929765,4.368722817061533,3.3207644295106338,-1.7601384500106598
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,3,2023-05-04,2023-05-11,ERPAS,20,0.04044797344070149,3.5699955790113416,2.3917822258961863,1.4646760137413162
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,4,2023-05-11,2023-05-18,ERPAS,20,0.017932577106357105,2.4634555637375173,1.3688070200881957,1.1176812573281163
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,1,2023-04-20,2023-04-27,FuXi-S2S,20,0.16913878051832837,2.231574137501309,1.2360694226444566,-0.6553209786101625
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,2,2023-04-27,2023-05-04,FuXi-S2S,20,-0.0062605863729763055,4.782741862202772,3.6200141445922966,-2.6530266903729856
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,3,2023-05-04,2023-05-11,FuXi-S2S,20,0.3649811783961344,2.3559377850137646,1.272935562130915,-0.3142123444563274
common_imd_1991_2020,paired_20230419,2023-04-19,2023-04-17,2023,4,MAM,4,2023-05-11,2023-05-18,FuXi-S2S,20,-0.42836483379786044,2.741196727932016,1.4823744946006776,1.29314027570899
common_imd_1991_2020,paired_20230426,2023-04-26,2023-04-24,2023,4,MAM,1,2023-04-27,2023-05-04,ERPAS,20,0.5826013718768138,2.927229385887719,2.1636203175685265,0.5291105253142925
