source,metric,variable,model,clim_basis,lead,region,n_init,mean,ci_low,ci_high
probabilistic,crpss_clim,TP,ECMWF,era5,3,All India,8,0.04490977640158201,-0.02105785423547217,0.11018401179037725
probabilistic,crpss_clim,TP,ECMWF,era5,4,All India,8,0.04214471780173833,-0.07061289560871344,0.12477927597224424
probabilistic,crpss_clim,TP,ECMWF,era5,5,All India,8,0.0868741760459946,0.028423559270570532,0.16469253803055037
probabilistic,crpss_clim,TP,ECMWF,era5,6,All India,8,0.07645863159416431,-0.059166523707722976,0.2309620206295042
probabilistic,crpss_clim,Z500,FuXi,era5,1,All India,1,0.8773169118526748,0.8773169118526748,0.8773169118526748
probabilistic,crpss_clim,Z500,FuXi,era5,2,All India,1,0.4135836631166534,0.4135836631166534,0.4135836631166534
probabilistic,crpss_clim,Z500,FuXi,era5,3,All India,1,0.4109565240504506,0.4109565240504506,0.4109565240504506
probabilistic,crpss_clim,Z500,FuXi,era5,4,All India,1,0.0757651737395154,0.0757651737395154,0.0757651737395154
probabilistic,crpss_clim,Z500,FuXi,era5,5,All India,1,0.1146617768785843,0.1146617768785843,0.1146617768785843
probabilistic,crpss_clim,Z500,FuXi,era5,6,All India,1,0.3873309690518632,0.3873309690518632,0.3873309690518632
probabilistic,crpss_clim,Z500,ECMWF,era5,1,All India,8,0.48857437804080833,0.32971881241956613,0.6434754980100157
probabilistic,crpss_clim,Z500,ECMWF,era5,2,All India,8,0.3387042590693158,0.23515678395613893,0.4535277518768093
probabilistic,crpss_clim,Z500,ECMWF,era5,3,All India,8,0.24866250791079653,0.12342436848090911,0.39183127810304186
probabilistic,crpss_clim,Z500,ECMWF,era5,4,All India,8,0.22053971945786802,0.0773636560426217,0.3833664630549326
probabilistic,crpss_clim,Z500,ECMWF,era5,5,All India,8,0.18383645871795992,0.026161052058036992,0.3245938011179486
probabilistic,crpss_clim,Z500,ECMWF,era5,6,All India,8,0.09238678861914514,-0.1571833780816378,0.30784132263388014
probabilistic,ssr,TP,FuXi,era5,1,All India,1,0.1551502654954409,0.1551502654954409,0.1551502654954409
probabilistic,ssr,TP,FuXi,era5,2,All India,1,0.4960891637027113,0.4960891637027113,0.4960891637027113
probabilistic,ssr,TP,FuXi,era5,3,All India,1,0.4878072147524606,0.4878072147524606,0.4878072147524606
probabilistic,ssr,TP,FuXi,era5,4,All India,1,0.6586295648428135,0.6586295648428135,0.6586295648428135
probabilistic,ssr,TP,FuXi,era5,5,All India,1,0.853810824408549,0.853810824408549,0.853810824408549
probabilistic,ssr,TP,FuXi,era5,6,All India,1,0.5298697507707171,0.5298697507707171,0.5298697507707171
probabilistic,ssr,TP,ECMWF,era5,1,All India,8,0.9887722398019108,0.7584869957182488,1.185597191913437
probabilistic,ssr,TP,ECMWF,era5,2,All India,8,0.9397138579468324,0.823638514891741,1.032207307572896
probabilistic,ssr,TP,ECMWF,era5,3,All India,8,0.8725557435987346,0.7786345282461824,0.9620188904205558
probabilistic,ssr,TP,ECMWF,era5,4,All India,8,0.8646596311938153,0.6521324127334918,1.0974054902647383
probabilistic,ssr,TP,ECMWF,era5,5,All India,8,0.8783804858905252,0.7465052703929613,1.0057088126385152
probabilistic,ssr,TP,ECMWF,era5,6,All India,8,0.8974585487208743,0.6790573782366788,1.1232066088253394
probabilistic,ssr,Z500,FuXi,era5,1,All India,1,0.4493258800302493,0.4493258800302493,0.4493258800302493
probabilistic,ssr,Z500,FuXi,era5,2,All India,1,0.8083804736734934,0.8083804736734934,0.8083804736734934
probabilistic,ssr,Z500,FuXi,era5,3,All India,1,1.1020974376455313,1.1020974376455313,1.1020974376455313
probabilistic,ssr,Z500,FuXi,era5,4,All India,1,0.5105291183574269,0.5105291183574269,0.5105291183574269
probabilistic,ssr,Z500,FuXi,era5,5,All India,1,0.5014089422981794,0.5014089422981794,0.5014089422981794
probabilistic,ssr,Z500,FuXi,era5,6,All India,1,1.7044093794810478,1.7044093794810478,1.7044093794810478
probabilistic,ssr,Z500,ECMWF,era5,1,All India,8,0.8202898606328832,0.6064801166425415,1.12730042749274
probabilistic,ssr,Z500,ECMWF,era5,2,All India,8,1.2396501598872596,0.8070367943178721,1.7890474247130257
probabilistic,ssr,Z500,ECMWF,era5,3,All India,8,1.1119772334232405,0.9342301854483306,1.3145236963316638
probabilistic,ssr,Z500,ECMWF,era5,4,All India,8,0.9884303268122475,0.8008768928701852,1.1959288998672108
probabilistic,ssr,Z500,ECMWF,era5,5,All India,8,1.0071970079512242,0.7243570587326416,1.4372312517401857
probabilistic,ssr,Z500,ECMWF,era5,6,All India,8,1.252337694993407,0.737051349746321,1.861043816674551
