lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm,snapshot_mean,snapshot_p10,snapshot_p90
23,2026-07-16,190.55559,181.36612,199.75952,216.16383911038,182.5087093681582,249.02432905421003,173.15527,190.48734,4.004547960487425,4.553632968152622,4.4354569577631615,151.49226315358084,149.4432915115832,144.96551712289943,165.17064,155.52291870117188,175.56475677490235
24,2026-07-17,198.47699,189.09198,208.1526,223.9965574023573,189.30247206622457,259.2890336474579,181.84383,199.61644,5.807853844250289,6.532584442543348,6.48266248198478,157.30011699783114,155.97587595412654,151.44817960488422,171.52028,159.89977569580077,183.88353424072267
25,2026-07-18,206.43234,194.11838,217.94417,231.88263675511163,193.09475178145854,273.51350141665375,190.02881,208.7763,6.500906886076942,7.014696497079926,6.375116333781262,163.80102388390807,162.99057245120648,157.82329593866547,178.09471,166.65826873779298,190.0821075439453
26,2026-07-19,214.4087,199.79808,227.49565,239.53209737371543,196.70248740155898,282.0749518043204,198.54721,217.96167,,,,,,,184.9859,172.7431427001953,197.84664306640624
27,2026-07-20,222.3583,206.45271,236.04288,247.87191260764055,201.5399046148461,291.45368105290265,207.82822,227.16672,,,,,,,192.00311,176.29412078857422,205.47474365234376
28,2026-07-21,230.39076,210.48624,247.5179,256.30256137361494,209.3445497267488,302.755938522472,217.17633,236.38547,,,,,,,199.22693,183.3966583251953,215.39675903320312
29,2026-07-22,238.48189,216.67091,258.8352,264.84425157699945,214.26782458111967,310.51392197825817,226.11569,245.61212,,,,,,,206.68312,190.0944046020508,222.52943267822263
30,2026-07-23,246.77704,222.53459,271.11993,273.2446284050274,218.20859334276307,318.03195791381125,234.59407,254.84102,,,,,,,214.46812,198.30074310302732,229.57689819335937
31,2026-07-24,254.86986,229.47166,277.12442,281.7097476575429,224.12446354576866,327.78216358974856,242.81172,264.06775,,,,,,,222.49469,207.6646484375,240.06311492919923
32,2026-07-25,262.86716,235.21562,285.43665,290.5367388694815,229.2667905183577,338.18528801909673,251.41093,273.28906,,,,,,,230.29507,214.54840240478515,251.5011260986328
33,2026-07-26,271.43283,243.42516,295.4486,299.3833487089131,233.47061290959803,350.2846760926305,260.6326,282.5009,,,,,,,237.6983,221.07967224121091,262.2309265136719
34,2026-07-27,280.2387,250.61752,304.99344,308.5577929266039,239.57720782623113,359.14321495681963,269.9732,291.69757,,,,,,,244.65648,225.86076965332032,268.12046813964844
35,2026-07-28,288.89847,256.15045,317.1298,318.25096973628166,247.46426744196722,368.15501929552113,279.28622,300.87314,,,,,,,251.29514,230.66868438720704,273.5428436279297
36,2026-07-29,296.90442,264.13007,329.04892,327.98409538487044,258.0660768518539,379.4557769955309,288.0117,310.0216,,,,,,,257.6582,233.50507659912108,280.8389526367188
37,2026-07-30,304.67294,274.7951,333.88367,337.7724761937036,269.150681102021,387.073785291298,296.2904,319.13855,,,,,,,263.63568,239.2740631103516,288.9787658691406
38,2026-07-31,312.65317,283.17215,340.99213,347.183108853171,275.9820771620748,397.68979827573435,304.17117,328.2216,,,,,,,269.4235,244.6068557739258,295.37742309570314
39,2026-08-01,320.81595,287.67218,350.94864,356.498522148543,283.8000716427815,407.868542226963,312.2775,337.26855,,,,,,,275.1156,251.4469421386719,299.6143829345703
40,2026-08-02,328.76672,292.48608,359.86566,365.8704907814499,291.74830345827354,418.1967489706013,320.4343,346.27765,,,,,,,280.7659,258.52744445800784,305.0360534667969
41,2026-08-03,336.4184,296.71606,369.16254,374.94169335700417,299.0127668646333,428.38938066325517,328.78113,355.24725,,,,,,,286.53708,264.4796112060547,312.52447204589845
42,2026-08-04,344.11206,303.5569,378.75684,383.60589195002785,308.16066339340637,437.481569266134,337.61902,364.17435,,,,,,,292.58652,267.4621353149414,318.97661743164065
