Region,Week,Init_Date,Model,ACC,RMSE,Bias
central_india,Week 5,2026-02-05,NCEP,-0.5078291309128362,0.3758294887480833,0.22599474054341923
south_peninsula,Week 5,2026-02-05,FuXi,0.9464295322203946,0.031066857134456675,-0.01717463367480668
south_peninsula,Week 5,2026-02-05,Spire,0.9048973206436364,0.05738559712692049,-0.02214027714240804
south_peninsula,Week 5,2026-02-05,ECMWF,0.3451519291451723,0.14223421108129872,0.05034368832659048
south_peninsula,Week 5,2026-02-05,NCEP,0.650502351068276,0.08527188577385093,0.0310207362365023
east_northeast_india,Week 5,2026-02-05,FuXi,0.9523921202411118,0.026934438196766847,-0.015176033966392026
east_northeast_india,Week 5,2026-02-05,Spire,0.5272356013517365,0.06029503039509489,0.014016827853138349
east_northeast_india,Week 5,2026-02-05,ECMWF,-0.6955293514234254,2.887814552697293,1.593921890522921
east_northeast_india,Week 5,2026-02-05,NCEP,-0.18180094917188544,1.277947782896919,0.8686648441519526
All India,Week 5,2026-02-12,FuXi,-0.07130349310921245,0.1593683492936133,-0.06499573067736313
All India,Week 5,2026-02-12,Spire,-0.1268388170786349,0.1514378149862833,-0.03605204334966555
All India,Week 5,2026-02-12,ECMWF,0.045496821640408455,2.289294529201295,1.167741384565293
All India,Week 5,2026-02-12,NCEP,0.24109359144123696,2.36502356351638,1.124385318023347
northwest_india,Week 5,2026-02-12,FuXi,-0.7799527770481471,0.11101840164683566,-0.06677144131166493
northwest_india,Week 5,2026-02-12,Spire,0.36160888683296827,0.05342111062341485,-0.012523796448107727
northwest_india,Week 5,2026-02-12,ECMWF,0.696853474381687,1.616029160262622,1.051046228232294
northwest_india,Week 5,2026-02-12,NCEP,0.7047685598582154,4.27969489862113,2.402751917905375
central_india,Week 5,2026-02-12,FuXi,0.9460446267486599,0.020165519586683497,-0.006605223930173085
central_india,Week 5,2026-02-12,Spire,0.8853457983883841,0.015477510901203403,0.007234140499779876
central_india,Week 5,2026-02-12,ECMWF,0.15028834659258625,0.22251985917982003,0.12613487056681957
central_india,Week 5,2026-02-12,NCEP,-0.7760368646682462,1.0355254118953672,0.3386339737461658
south_peninsula,Week 5,2026-02-12,FuXi,0.6857925661635234,0.06688496710214369,-0.04018969895989857
south_peninsula,Week 5,2026-02-12,Spire,0.8173156673563733,0.03687116995530173,-0.010953982037387485
south_peninsula,Week 5,2026-02-12,ECMWF,-0.596062787722543,1.7525120806789651,0.9273095346843042
south_peninsula,Week 5,2026-02-12,NCEP,-0.7872445639156104,0.45232216071334824,0.18510977747522464
east_northeast_india,Week 5,2026-02-12,FuXi,-0.7032580040024131,0.3895462848837747,-0.2091217693465671
east_northeast_india,Week 5,2026-02-12,Spire,-0.7850618585921884,0.39734922471612,-0.18349459062061502
east_northeast_india,Week 5,2026-02-12,ECMWF,0.788648916041519,1.6600055596955638,0.651572177168029
east_northeast_india,Week 5,2026-02-12,NCEP,0.3006675861869466,2.652705992507356,1.9459452259856458
All India,Week 5,2026-02-19,FuXi,0.5664582923821236,0.08401296409583765,-0.03996966625235584
All India,Week 5,2026-02-19,Spire,0.4983425312457546,0.08978532553811586,-0.026506298353268877
All India,Week 5,2026-02-19,ECMWF,-0.16178871753047253,1.7674053175111102,0.727008517095595
All India,Week 5,2026-02-19,NCEP,0.0008570051297625626,2.2116994121261215,1.279132982955356
northwest_india,Week 5,2026-02-19,FuXi,0.2816594217504754,0.07033932266308894,-0.03913873620351393
northwest_india,Week 5,2026-02-19,Spire,0.2551154755904313,0.126204536927181,-0.07640916594931005
northwest_india,Week 5,2026-02-19,ECMWF,-0.43866304578985327,1.7211186109163266,0.8766130015518776
northwest_india,Week 5,2026-02-19,NCEP,0.22216430563675807,1.8817707401675188,1.3321076286421538
central_india,Week 5,2026-02-19,FuXi,-0.2964389741735709,0.12981070187594276,-0.07022455179053316
central_india,Week 5,2026-02-19,Spire,-0.2115569923035585,0.10702024277134418,-0.03471640358798546
central_india,Week 5,2026-02-19,ECMWF,0.3164126033221676,0.20151635957199987,0.022244769855190433
central_india,Week 5,2026-02-19,NCEP,0.032404599554020676,1.2629528010716689,0.9468715020496044
south_peninsula,Week 5,2026-02-19,FuXi,0.981305161074104,0.014349123096939049,-0.0066979169852416
south_peninsula,Week 5,2026-02-19,Spire,0.9384620317163933,0.03913370245420765,0.029981263739918294
south_peninsula,Week 5,2026-02-19,ECMWF,0.045251671692641486,0.2992246093647126,0.1567977146595414
south_peninsula,Week 5,2026-02-19,NCEP,0.02992585952372662,0.9747495846902162,0.7325486860394037
east_northeast_india,Week 5,2026-02-19,FuXi,0.028757153474819736,0.18710831012115442,-0.1385831513511247
east_northeast_india,Week 5,2026-02-19,Spire,-0.0012097422375175607,0.15065946060212587,-0.07632150977663382
east_northeast_india,Week 5,2026-02-19,ECMWF,0.04775513158061298,0.6875688482934084,0.3998650035395114
east_northeast_india,Week 5,2026-02-19,NCEP,-0.09825870181639723,3.398652501985474,2.4149302660489154
All India,Week 5,2026-02-26,FuXi,0.19785764221778399,0.1200641690613083,-0.050310313489177826
All India,Week 5,2026-02-26,Spire,-0.12893813018823633,0.13588694911258406,-0.027612174669518194
All India,Week 5,2026-02-26,ECMWF,0.34639886354831906,2.5821379625243157,1.0856136123630682
All India,Week 5,2026-02-26,NCEP,0.29452037790956487,1.6856807590030776,0.8467223465004822
northwest_india,Week 5,2026-02-26,FuXi,-0.15561013460135997,0.09009075027367174,-0.03728449389297304
northwest_india,Week 5,2026-02-26,Spire,-0.6515595856562071,0.16313730201224833,-0.06964334822460774
northwest_india,Week 5,2026-02-26,ECMWF,0.3619988828342223,1.4010772630671904,0.7763489154144034
northwest_india,Week 5,2026-02-26,NCEP,0.18705136075622314,1.7674146553702401,1.2121892090500355
central_india,Week 5,2026-02-26,FuXi,-0.33417962545480695,0.08632208886982513,-0.026358623568401386
central_india,Week 5,2026-02-26,Spire,-0.08143575295494135,0.07164557336610813,0.023172484008470176
central_india,Week 5,2026-02-26,ECMWF,0.5587320938586761,0.23015122314555758,0.05467874531892288
central_india,Week 5,2026-02-26,NCEP,0.15095823251328436,0.26675729808670556,0.15935923070061014
south_peninsula,Week 5,2026-02-26,FuXi,0.9726109303157733,0.02613047950004397,-0.014555603366478272
south_peninsula,Week 5,2026-02-26,Spire,0.8735582041462635,0.055269147427149855,0.04759854328422292
south_peninsula,Week 5,2026-02-26,ECMWF,-0.4780877945965848,0.5499934101878752,0.2589256980060306
south_peninsula,Week 5,2026-02-26,NCEP,-0.21679173684652112,0.300462535169236,0.15625177997293568
east_northeast_india,Week 5,2026-02-26,FuXi,-0.6337875872216294,0.26001956650795455,-0.14501498297026208
east_northeast_india,Week 5,2026-02-26,Spire,-0.642298951752645,0.2702024338581808,-0.08852857002248472
east_northeast_india,Week 5,2026-02-26,ECMWF,0.5827588245365564,4.9615432738954635,2.253855512886296
east_northeast_india,Week 5,2026-02-26,NCEP,0.12096333480526658,3.3630364988689085,2.1014257096989426
All India,Week 5,2026-03-05,FuXi,0.18377044368724252,0.14730203015358023,-0.06510738275188148
All India,Week 5,2026-03-05,Spire,0.06453113492773338,0.14221749033322836,-0.020981046172849214
All India,Week 5,2026-03-05,ECMWF,0.1878790550969989,2.1900282318097997,1.2586157096780215
All India,Week 5,2026-03-05,NCEP,0.5848016316355804,4.740468385666151,2.26815810502009
northwest_india,Week 5,2026-03-05,FuXi,-0.5729479291128595,0.2743639693428598,-0.15128092699823426
northwest_india,Week 5,2026-03-05,Spire,-0.22266202645060323,0.2248339003703122,-0.11136380444965069
northwest_india,Week 5,2026-03-05,ECMWF,0.048797913940377344,1.565750748241818,0.8649386579289593
northwest_india,Week 5,2026-03-05,NCEP,0.5888275953737401,9.593886802309866,6.90120675948699
central_india,Week 5,2026-03-05,FuXi,0.3554620117621788,0.06641684882010289,-0.031301703421210136
central_india,Week 5,2026-03-05,Spire,-0.001474748841902087,0.06487185937686629,-0.0009672891377027932
central_india,Week 5,2026-03-05,ECMWF,0.2860422966685143,1.9239493489812027,1.1979895694970693
central_india,Week 5,2026-03-05,NCEP,-0.2708962803268956,1.5208162565418764,0.9508401227955114
south_peninsula,Week 5,2026-03-05,FuXi,0.9361720804574782,0.029184885354333303,-0.01677984254464927
south_peninsula,Week 5,2026-03-05,Spire,0.8686927737615029,0.04151421099625558,0.0315893278432058
south_peninsula,Week 5,2026-03-05,ECMWF,0.09311337376387589,0.7169055225630008,0.44962861386272124
south_peninsula,Week 5,2026-03-05,NCEP,0.3873738225074233,0.7414408297130085,0.5445432139326083
east_northeast_india,Week 5,2026-03-05,FuXi,-0.16400737103502744,0.16534879373967845,-0.10200679577353552
east_northeast_india,Week 5,2026-03-05,Spire,-0.43087364644298587,0.23510625988911762,-0.049379760194158386
east_northeast_india,Week 5,2026-03-05,ECMWF,0.4459770796750443,4.953037942998586,4.0512659933287
east_northeast_india,Week 5,2026-03-05,NCEP,-0.08692435877386538,3.241451837050008,2.583315600212146
All India,Week 5,2026-03-12,FuXi,0.6606369781547288,0.060221687560164314,-0.02541260667639496
All India,Week 5,2026-03-12,Spire,0.3948265541389613,0.07916783655170027,-0.002740416249448359
All India,Week 5,2026-03-12,ECMWF,0.03460461424688804,1.8144579244143344,0.9963541790293138
All India,Week 5,2026-03-12,NCEP,-0.16189353142266494,3.569553134198355,1.9215234275825903
northwest_india,Week 5,2026-03-12,FuXi,0.9260850245684243,0.015380113440643026,-0.0002600326248734937
northwest_india,Week 5,2026-03-12,Spire,0.8656560741893177,0.03824399806753297,0.016670262739741277
northwest_india,Week 5,2026-03-12,ECMWF,-0.7199720735235284,2.540344239041267,1.7973729115836654
northwest_india,Week 5,2026-03-12,NCEP,-0.8868369993677913,6.878978229523438,4.633388527944762
central_india,Week 5,2026-03-12,FuXi,0.9160851365973021,0.018050040159247174,-0.007231429490718504
central_india,Week 5,2026-03-12,Spire,0.1308212978863826,0.05503951088486188,0.03914723096992753
central_india,Week 5,2026-03-12,ECMWF,-0.28653359865832195,1.2078520790559604,0.7759545432373618
central_india,Week 5,2026-03-12,NCEP,-0.5743675156951847,1.2866077183017266,0.8220881513963129
south_peninsula,Week 5,2026-03-12,FuXi,0.4777424450511979,0.061166565164990264,-0.022879168309273685
south_peninsula,Week 5,2026-03-12,Spire,0.5262298539550647,0.05586430076086312,0.009444364924705847
south_peninsula,Week 5,2026-03-12,ECMWF,0.16787106941740032,0.7521522508942251,0.4244000367307628
south_peninsula,Week 5,2026-03-12,NCEP,-0.015417555497474469,0.6945416662897339,0.4188337680816509
east_northeast_india,Week 5,2026-03-12,FuXi,0.09193030703697326,0.10587562556084147,-0.05980025274713034
east_northeast_india,Week 5,2026-03-12,Spire,-0.4136920921306311,0.17639435437113976,-0.05088117989666056
east_northeast_india,Week 5,2026-03-12,ECMWF,0.18828078811157292,3.230438824708055,2.0092911420920503
east_northeast_india,Week 5,2026-03-12,NCEP,-0.11113229166978662,3.705552419266558,2.712671778852497
All India,Week 5,2026-03-19,FuXi,-0.018455256687059624,0.11130539566987692,-0.038764599763787766
All India,Week 5,2026-03-19,Spire,-0.03446545451885251,0.1089320618202652,-0.024642161135820014
All India,Week 5,2026-03-19,ECMWF,0.2518466365713192,1.2258760354874103,0.6254421249816812
All India,Week 5,2026-03-19,NCEP,0.2874137333420228,2.733807685898161,1.3597047436924372
northwest_india,Week 5,2026-03-19,FuXi,-0.19888477310477604,0.07494707876933115,-0.027725159913366788
northwest_india,Week 5,2026-03-19,Spire,-0.029809162544712352,0.10255141695075948,-0.04275026697648205
northwest_india,Week 5,2026-03-19,ECMWF,0.12812104553425857,0.907368068714979,0.49873016031412565
northwest_india,Week 5,2026-03-19,NCEP,0.1213756396995307,3.676748937168188,1.9879111863291548
central_india,Week 5,2026-03-19,FuXi,-0.24444652485699803,0.07887646960554263,-0.014488453505844033
central_india,Week 5,2026-03-19,Spire,-0.18184351798386197,0.06807416205331704,0.01323355292297912
central_india,Week 5,2026-03-19,ECMWF,0.07590309286043827,0.3763397554572884,0.08754876939417
central_india,Week 5,2026-03-19,NCEP,0.28000848869043715,1.662309556036236,0.5141335213020869
south_peninsula,Week 5,2026-03-19,FuXi,0.9694019870926323,0.015219876094582264,-0.006590997610742038
south_peninsula,Week 5,2026-03-19,Spire,0.9437944063201271,0.02207633771275961,0.008554030490669185
south_peninsula,Week 5,2026-03-19,ECMWF,-0.44823096808526636,0.3507020639399778,0.17410162448970115
south_peninsula,Week 5,2026-03-19,NCEP,0.004055646470211664,0.8430920909957236,0.5124331875185801
east_northeast_india,Week 5,2026-03-19,FuXi,-0.5890955147479885,0.2179247363333164,-0.12630309947466145
east_northeast_india,Week 5,2026-03-19,Spire,-0.44662639649852753,0.21080941900679528,-0.10345795997337671
east_northeast_india,Week 5,2026-03-19,ECMWF,0.4472474434854629,2.4877695788162937,1.3847681575673376
east_northeast_india,Week 5,2026-03-19,NCEP,0.35900053419265254,5.112229437289626,3.3714706743537235
All India,Week 5,2026-03-26,FuXi,-0.001764908762638442,0.19529742550593635,-0.08599033584988212
All India,Week 5,2026-03-26,Spire,0.19732277114226368,0.1617465603700885,-0.035849899569340364
All India,Week 5,2026-03-26,ECMWF,0.09374996511538733,2.3181538317601103,1.3538554228343076
All India,Week 5,2026-03-26,NCEP,0.44259893632158454,5.112219079865011,2.5895479848199954
northwest_india,Week 5,2026-03-26,FuXi,0.6339005108467181,0.0496708823245893,-0.02663552518535084
northwest_india,Week 5,2026-03-26,Spire,0.20835862300786437,0.06828928211409437,0.017084571943561815
northwest_india,Week 5,2026-03-26,ECMWF,-0.39516705732828766,1.6010163404293845,0.7910874257988774
northwest_india,Week 5,2026-03-26,NCEP,-0.13093638738450464,2.099319330726109,1.374065552081572
central_india,Week 5,2026-03-26,FuXi,-0.9064127005394063,0.2449779794521038,-0.075176967718616
central_india,Week 5,2026-03-26,Spire,-0.4659305011359644,0.21231985815719764,-0.025983701338830913
central_india,Week 5,2026-03-26,ECMWF,0.9167141346121946,0.6386303008123615,0.24747897263790022
central_india,Week 5,2026-03-26,NCEP,0.9454286926171545,2.976864058953851,1.2519439834736015
south_peninsula,Week 5,2026-03-26,FuXi,0.07827410440122864,0.1155856165064832,-0.05824784537759669
south_peninsula,Week 5,2026-03-26,Spire,0.2367475800237647,0.08630608033289527,-0.015975182412840256
south_peninsula,Week 5,2026-03-26,ECMWF,0.2715186176478654,1.13770856322264,0.7047730496384529
south_peninsula,Week 5,2026-03-26,NCEP,0.6787957831790149,0.7496304126652725,0.4075430568312786
east_northeast_india,Week 5,2026-03-26,FuXi,-0.30201835061490545,0.4630654802810825,-0.30155900458602475
east_northeast_india,Week 5,2026-03-26,Spire,-0.02241573048435259,0.3980885152572493,-0.2018483936320765
east_northeast_india,Week 5,2026-03-26,ECMWF,0.5796087395080022,1.932389713339666,1.4700197186934614
east_northeast_india,Week 5,2026-03-26,NCEP,0.7686570146565224,9.226809812361347,6.292478635442656
All India,Week 6,2026-01-01,FuXi,0.7153005911213745,0.05616469752204291,-0.025121633062316125
All India,Week 6,2026-01-01,Spire,0.5638890505905355,0.05895427110432717,-0.008776390657907732
All India,Week 6,2026-01-01,ECMWF,-0.322590296975644,1.4189279199072151,0.7405054686898211
All India,Week 6,2026-01-01,NCEP,-0.11319901824908797,0.7010358131948902,0.26874529664609165
northwest_india,Week 6,2026-01-01,FuXi,0.7295850969411591,0.04184880399358752,-0.024030609667850283
northwest_india,Week 6,2026-01-01,Spire,0.6400069109122021,0.0490384266089647,-0.027553149129572883
northwest_india,Week 6,2026-01-01,ECMWF,-0.6585471153714093,1.8358805678946963,1.138410885925785
northwest_india,Week 6,2026-01-01,NCEP,-0.2991211318401372,0.45632147066153655,0.22531199299754914
central_india,Week 6,2026-01-01,FuXi,0.9140600155256491,0.02684219687638819,-0.010817425965878726
central_india,Week 6,2026-01-01,Spire,0.8518675632397386,0.03486340174538476,-0.006891777525560514
central_india,Week 6,2026-01-01,ECMWF,-0.4618844212348901,1.4997877832034416,0.7145027019065749
central_india,Week 6,2026-01-01,NCEP,-0.21202882975947082,0.11576522935336603,0.025101753986232253
south_peninsula,Week 6,2026-01-01,FuXi,0.970045492211716,0.020338734965870665,-0.008565814548348115
south_peninsula,Week 6,2026-01-01,Spire,0.8217040723250053,0.04150177327000122,0.01300321432507361
south_peninsula,Week 6,2026-01-01,ECMWF,-0.5197655013551314,0.48827935994386157,0.3185358291235904
south_peninsula,Week 6,2026-01-01,NCEP,0.038296750150679744,0.09600657500810059,0.02092208432485863
east_northeast_india,Week 6,2026-01-01,FuXi,0.9610028728831841,0.024224967294938487,-0.012804298694043151
east_northeast_india,Week 6,2026-01-01,Spire,0.8001659813748391,0.04335640384299998,0.009341401583929394
east_northeast_india,Week 6,2026-01-01,ECMWF,-0.496527235193223,2.460102723483674,1.4329389442745855
east_northeast_india,Week 6,2026-01-01,NCEP,-0.13206097528254657,0.683794177393847,0.42649976629002406
All India,Week 6,2026-01-08,FuXi,-0.240394757555715,0.16474498954032762,-0.043171956935772915
All India,Week 6,2026-01-08,Spire,-0.04957293529219931,0.14560092537654198,-0.028198494025163768
All India,Week 6,2026-01-08,ECMWF,0.4574638345023514,4.640773153820302,1.3900062886176063
All India,Week 6,2026-01-08,NCEP,-0.16918630908877677,1.5866867663800215,0.6442108532305911
northwest_india,Week 6,2026-01-08,FuXi,0.8987931458133466,0.021275945879033236,-0.010614402299983573
northwest_india,Week 6,2026-01-08,Spire,0.6262931073758344,0.04152314532338103,-0.017967355551696495
northwest_india,Week 6,2026-01-08,ECMWF,-0.7861699342748549,0.848229918120573,0.4213723805300206
