variable,model,valid_month,valid_month_name,region,lead_bucket,pcc,rmse,bias,msss_clim,std_ratio,n_init,crpss_clim,crps,ssr,spread,briss_clim
TP,FuXi,6,Jun,northwest_india,W1-2,0.8287789838852757,1.6543743166684195,-1.0710823714504034,0.5071057138407931,1.070748373231217,1,0.3863545397929561,1.0544552589212923,0.158391168044569,0.2620382804000467,0.3328896707775059
TP,FuXi,6,Jun,central_india,W1-2,0.5670055618645793,3.0878714810617827,-1.632387774148773,-0.2471764647568042,1.1432729909894024,1,0.2855148241196724,2.036213309601737,0.1450939163926455,0.4480313665044128,0.5422340230558615
TP,FuXi,6,Jun,south_peninsula,W1-2,0.8647967327992222,2.8991867308006425,-2.1952743970481534,0.5260486822468609,0.8204438863128938,1,0.0179956996828603,2.397119637288409,0.1083096862354517,0.3140100051510027,0.40124178398658583
TP,FuXi,6,Jun,east_northeast_india,W1-2,0.9262701345897734,1.9514083067548904,-0.4994450876307114,0.8510136269624891,1.064980496385911,1,0.6385500666800513,1.2246279761860577,0.3174424753559769,0.619459883326488,0.5854781277144232
TP,FuXi,7,Jul,All India,W1-2,0.7921411718094615,4.110853753058542,0.6379601947997113,0.6173861635516544,0.8417910097938147,1,0.4044803082636374,2.0822928121248734,0.4960891637027113,2.039350000458964,0.4583930960052849
TP,FuXi,7,Jul,All India,W3-4,0.38389097330466865,7.25586322209893,-0.9729804992003537,0.1794594353744033,0.5539654072780693,1,0.051893124986017,3.834467309010413,0.5732183897976371,4.028244146579759,0.05784836868727069
TP,FuXi,7,Jul,All India,W5-6,0.392006276847612,6.605131554607371,-2.0738513371568867,0.0603198726661193,0.609938221485782,1,0.0385317049972606,3.5803841326524477,0.691840287589633,4.260478391411262,0.13247210454657415
TP,FuXi,7,Jul,northwest_india,W1-2,0.8738035865453923,1.9407801492430852,0.9944464771597038,0.7660586503669132,0.7095854300726064,1,0.5689639211137321,0.9603929831966002,0.8310625065473403,1.6129096154872795,0.5649946906037135
TP,FuXi,7,Jul,northwest_india,W3-4,0.3779377628165993,5.881818192954261,-0.5761408571848339,0.2303912537040991,0.44637456686396704,1,0.07875253699206675,2.833987114052801,0.7010251289973357,3.818961509675753,0.10926070773973855
TP,FuXi,7,Jul,northwest_india,W5-6,0.4442677633257186,4.407221877886842,-1.6884646829417438,0.17296769415534652,0.5431495109235894,1,0.12026365645012069,2.2360304253311023,0.7967091237174488,3.2415763535634907,0.14371668146396988
TP,FuXi,7,Jul,central_india,W1-2,0.6324004837720955,4.945380650116671,-1.247697485366468,0.662185863015357,0.9340139030349908,1,0.4301117365927613,2.790256327376544,0.5771817433963072,2.854383425392704,0.6638061980350591
TP,FuXi,7,Jul,central_india,W3-4,0.5810076471655655,5.959821630574268,2.320292851601239,0.31036780775120126,0.9846432201829123,1,0.19367665158499475,3.643468408814024,0.9087122396147759,5.137676622653882,0.24577611387834045
TP,FuXi,7,Jul,central_india,W5-6,0.5198818027930356,8.522460297285894,-2.3177024155011607,-0.0918459302958489,0.761404940016481,1,0.0038678205954224484,5.13980220834629,0.744797214254209,5.4518667850039595,0.23756813759798914
TP,FuXi,7,Jul,south_peninsula,W1-2,0.5674341344180415,5.106549146612351,2.2422463779007207,0.0301637214810058,0.9035094217860022,1,0.0232336396251963,2.369266890675018,0.2050563583222731,1.0471303715980402,0.23622869990736362
TP,FuXi,7,Jul,south_peninsula,W3-4,0.7939039778399808,2.650212927707255,-1.0117797340757113,0.5583717148329381,0.8551262752952287,1,0.2588913164614127,1.6166794952319274,0.7072828632803225,1.9133137799445203,0.03052406544365563
TP,FuXi,7,Jul,south_peninsula,W5-6,0.44410120702637385,6.468132152965101,-2.61908299748855,0.2151132513867256,0.6007312181053764,1,-0.010424697740214442,3.6570363260340955,0.5553462484262288,3.3116750388714125,0.04674400243466148
TP,FuXi,7,Jul,east_northeast_india,W1-2,0.8169954982161309,4.109869239154556,2.1720011995065227,0.7295830777469972,1.0657581579372204,1,0.4189152274759874,2.557753801545636,0.5700883484434881,2.3429885668683155,0.4094347516752075
TP,FuXi,7,Jul,east_northeast_india,W3-4,0.3198984435372138,12.947566943907253,-9.317095699522035,-0.0816949800901984,0.6038267028504398,1,-0.22185330612129928,9.215920454069684,0.415224853201708,4.581931359604683,0.17789349820767064
TP,FuXi,7,Jul,east_northeast_india,W5-6,0.7074774400074253,4.527120272180822,-1.6798643326321763,0.18723713116105786,0.9223590140404506,1,0.14896806273575003,2.857730677403733,1.3596647148464214,4.944074757279479,0.32471622329908834
TP,Persistence,6,Jun,All India,W1-2,0.5534409023341377,4.651245331998142,-2.6979905440595506,-0.3887948534425726,1.1413894055211444,3,,,,,
TP,Persistence,6,Jun,All India,W3-4,0.4653359032646328,7.370170622069626,-5.368202321858533,-1.6100583799136998,1.173900006319347,1,,,,,
TP,Persistence,6,Jun,northwest_india,W1-2,0.6441502389487367,2.4010154090161437,-0.8229873129723388,-0.2742373050408077,1.2526959972160376,3,,,,,
TP,Persistence,6,Jun,northwest_india,W3-4,0.6829869664797765,2.7914262466909503,-1.9810557343877842,-0.8150633292378786,1.2572082274901408,1,,,,,
TP,Persistence,6,Jun,central_india,W1-2,0.47632398466967796,5.4280231152162095,-4.159879409066063,-1.45434405308925,1.1821525721130495,3,,,,,
TP,Persistence,6,Jun,central_india,W3-4,0.3671414974144982,9.9427892275624,-8.863663110258074,-4.370172281726401,1.1622785147570727,1,,,,,
TP,Persistence,6,Jun,south_peninsula,W1-2,0.7253222232192815,4.560339324418864,-3.055217764572605,-0.4387863374700192,1.093330771687466,3,,,,,
TP,Persistence,6,Jun,south_peninsula,W3-4,0.500195851673291,6.239826023895008,-3.9122261348200538,-1.1429195412587922,1.2240558365640783,1,,,,,
TP,Persistence,6,Jun,east_northeast_india,W1-2,0.7070245349074311,5.310187710570382,-3.008068998042842,0.18426144075691547,1.1830510827603953,3,,,,,
TP,Persistence,6,Jun,east_northeast_india,W3-4,0.7574457348754786,7.950988243815269,-6.5903172651076485,-0.8763889922298569,1.27145247182513,1,,,,,
TP,Persistence,7,Jul,All India,W1-2,0.10806478678098985,10.699250243484043,-2.647021268199693,-1.2117867850173627,1.1169547212638826,3,,,,,
TP,Persistence,7,Jul,All India,W3-4,0.27079598613346234,9.494212921695643,-5.270780178538549,-0.5203036616453213,0.7458863725320537,3,,,,,
TP,Persistence,7,Jul,All India,W5-6,0.21781552498346204,10.935969849630597,-7.772273475344005,-1.2542089323880157,0.7641125932752586,3,,,,,
TP,Persistence,7,Jul,northwest_india,W1-2,0.1263786801076598,7.5068493930991025,-2.6114904046895253,-1.0793268450922575,1.2050037271156977,3,,,,,
TP,Persistence,7,Jul,northwest_india,W3-4,0.0030746316342121958,8.814233525853268,-5.355685485946864,-1.2389103241516344,0.8717121308232167,3,,,,,
TP,Persistence,7,Jul,northwest_india,W5-6,0.16617506683889535,8.588732611352302,-6.202537632238756,-1.6989945886522015,0.9822625379757562,3,,,,,
TP,Persistence,7,Jul,central_india,W1-2,0.2904720718356524,10.904633859316395,-5.458877198361547,-0.6266740325918777,0.9629953108194396,3,,,,,
TP,Persistence,7,Jul,central_india,W3-4,0.5366615973994137,8.024758111518123,-4.3457363475772235,-0.43419509259042427,1.050903916223543,3,,,,,
TP,Persistence,7,Jul,central_india,W5-6,0.4124239783783518,11.525791459550964,-9.771424151026851,-0.9135232237091336,0.854709593398895,3,,,,,
TP,Persistence,7,Jul,south_peninsula,W1-2,0.47906412572578916,6.170221561137661,-1.9509628537600658,-0.08584827858892075,0.9665175956756105,3,,,,,
TP,Persistence,7,Jul,south_peninsula,W3-4,0.6233499414990905,5.224582606247295,-3.329805191417892,0.0008355501696927781,0.9346648738235698,3,,,,,
TP,Persistence,7,Jul,south_peninsula,W5-6,0.37380077743124057,8.240022164287378,-5.6315173767950535,-0.5980718046201527,0.8586219523841577,3,,,,,
