method,initialization,lead_week,region,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,valid_area_weight,valid_cells
cma,2025-06-16,6,south_peninsula,-0.4787534049,9.125228864,6.275765122,-3.181300363,0.1370954587,0,517384.5263,34
cma,2025-06-16,6,east_northeast_india,0.05489419182,5.682582571,4.296068466,1.736084977,0,0,476733.6896,35
cma,2025-06-19,1,india,0.1993544877,7.190111099,5.409390305,-1.225502617,-0.05693494563,0,3207490.246,171
cma,2025-06-19,1,northwest_india,0.1853302987,6.408829524,4.685560874,-0.3190286684,-0.0854195721,0,1124851.459,68
cma,2025-06-19,1,central_india,0.2565344413,8.18344146,6.503067348,-4.315000108,-0.002753496361,0,1088520.578,67
cma,2025-06-19,1,south_peninsula,-0.2284194111,5.691066653,3.612789146,-2.23786811,-0.1614596316,0,517384.5263,34
cma,2025-06-19,1,east_northeast_india,0.5500503372,7.928066341,6.569879427,4.788579049,0,0,476733.6896,35
cma,2025-06-19,2,india,0.2284536299,11.07472751,7.135914072,1.118947741,0.009246005717,0,3207490.246,171
cma,2025-06-19,2,northwest_india,0.2735634189,8.123286003,5.609118605,-0.4346658543,-0.09310442711,0,1124851.459,68
cma,2025-06-19,2,central_india,-0.05809159505,15.84535456,10.31811451,3.12151567,0.0238592262,0,1088520.578,67
cma,2025-06-19,2,south_peninsula,-0.2913356124,6.380784561,5.021720903,0.7454764771,0.1713556321,0,517384.5263,34
cma,2025-06-19,2,east_northeast_india,0.4890071874,7.21330856,5.766970076,0.6175699954,0.04144266091,0,476733.6896,35
cma,2025-06-19,3,india,0.1237010296,8.739061083,6.009033899,-1.693853346,0.04059232619,0,3207490.246,171
cma,2025-06-19,3,northwest_india,0.116202367,5.135755512,3.866516452,-1.145398232,-0.0699416737,0,1124851.459,68
cma,2025-06-19,3,central_india,-0.1079230937,12.43448562,9.002874102,-4.476004971,0,0,1088520.578,67
cma,2025-06-19,3,south_peninsula,-0.01263501281,6.701735993,4.432919119,2.595295343,0.3743621714,0,517384.5263,34
cma,2025-06-19,3,east_northeast_india,0.4344570603,7.05822563,5.93900444,-1.290358484,0.03185067445,0,476733.6896,35
cma,2025-06-19,4,india,0.04816909598,8.852588287,6.931166495,-1.045801797,-0.02522127815,0,3207490.246,171
cma,2025-06-19,4,northwest_india,-0.3477286419,8.9428683,7.327952541,-4.328622795,-0.2313601492,0,1124851.459,68
cma,2025-06-19,4,central_india,0.1800118145,8.82814779,6.454397971,0.1432691601,0.01906204965,0,1088520.578,67
cma,2025-06-19,4,south_peninsula,-0.03291071445,9.057748521,7.085075744,5.633619345,0.3065406034,0,517384.5263,34
cma,2025-06-19,4,east_northeast_india,0.3732290032,8.460287848,6.916518312,-3.263961395,0,0,476733.6896,35
cma,2025-06-19,5,india,0.1377368027,6.233492876,4.752340954,-0.1960495257,-0.004716795055,0,3207490.246,171
cma,2025-06-19,5,northwest_india,0.04150851063,5.173990526,4.112565749,0.0678590029,-0.05564126019,0,1124851.459,68
cma,2025-06-19,5,central_india,0.09693036826,6.25868967,4.621125223,0.3228995552,0,0,1088520.578,67
cma,2025-06-19,5,south_peninsula,0.08884035701,8.494706701,6.665596071,-5.952913425,0.09172883257,0,517384.5263,34
cma,2025-06-19,5,east_northeast_india,0.5156940469,5.52375108,4.485094305,4.244097493,0,0,476733.6896,35
cma,2025-06-19,6,india,-0.2288249596,9.462639166,6.30819867,-3.424938667,0.03744152502,0,3207490.246,171
cma,2025-06-19,6,northwest_india,-0.3016738362,9.182968905,5.511029974,-2.469947867,-0.1038310388,0,1124851.459,68
cma,2025-06-19,6,central_india,-0.1678316283,11.83953975,8.611868948,-7.264470567,0.02200433788,0,1088520.578,67
cma,2025-06-19,6,south_peninsula,-0.5880232404,7.047284261,5.007099117,-0.02094543268,0.4115616846,0,517384.5263,34
cma,2025-06-19,6,east_northeast_india,0.2801008105,5.432582022,4.341215052,-0.6057268292,0,0,476733.6896,35
cma,2025-06-23,1,india,0.2874245809,7.077341298,5.500522762,0.8100107463,0.01776947282,0,3207490.246,171
cma,2025-06-23,1,northwest_india,0.4810945991,6.182840675,4.780979043,1.133058469,-0.1190031364,0,1124851.459,68
cma,2025-06-23,1,central_india,0.1566979246,6.688387493,5.361892823,-2.352644174,0.01009174366,0,1088520.578,67
cma,2025-06-23,1,south_peninsula,0.1181276396,8.182240041,5.94006806,3.073846388,0.3476547569,0,517384.5263,34
cma,2025-06-23,1,east_northeast_india,0.4589112488,8.485435378,7.037790696,4.812162847,0,0,476733.6896,35
cma,2025-06-23,2,india,0.02383359155,8.479180608,6.078093002,-3.595285673,0.0005166237206,0,3207490.246,171
cma,2025-06-23,2,northwest_india,0.04677974134,5.426560696,4.321824261,-1.215388374,-0.05795027543,0,1124851.459,68
cma,2025-06-23,2,central_india,0.04179658179,11.81845198,9.181753149,-8.616652953,-0.02202797199,0,1088520.578,67
cma,2025-06-23,2,south_peninsula,-0.5247926719,6.870582403,4.06413546,-2.002366631,0.1579286593,0,517384.5263,34
cma,2025-06-23,2,east_northeast_india,0.3946814135,6.640178288,5.321137848,0.5258391105,0.0191104045,0,476733.6896,35
cma,2025-06-23,3,india,0.1500416942,8.556918814,6.201190884,-0.5561621457,0.01943918925,0,3207490.246,171
cma,2025-06-23,3,northwest_india,-0.1529289062,7.605340224,5.706826094,-1.321409575,-0.08779125,0,1124851.459,68
cma,2025-06-23,3,central_india,0.1034589581,9.920490317,6.919503982,-2.687577334,0,0,1088520.578,67
cma,2025-06-23,3,south_peninsula,-0.1673378252,8.559548588,6.2304417,5.21119649,0.2657791819,0,517384.5263,34
cma,2025-06-23,3,east_northeast_india,0.4417081498,7.206399435,5.695781763,-0.1430660527,0.04948903339,0,476733.6896,35
cma,2025-06-23,4,india,0.1555001611,7.026475195,5.202292032,-1.043765447,-0.04528236241,0,3207490.246,171
cma,2025-06-23,4,northwest_india,-0.1897563978,8.277804976,6.320301936,-2.551660758,-0.17385783,0,1124851.459,68
cma,2025-06-23,4,central_india,0.303912262,6.016202366,4.496131823,1.267943924,0,0,1088520.578,67
