method,region,aggregation,cases,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,lead_week
ecmwf,central_india,by_lead,35,0.2954742031,5.868868823,4.52102744,1.018856336,0.05960461571,0,2
ecmwf,central_india,by_lead,35,0.2151126715,5.801151287,4.462954526,0.3791544061,0.0931472563,0,3
ecmwf,central_india,by_lead,35,0.2022330678,5.734650092,4.38115248,0.01331374929,0.1135442152,0,4
ecmwf,central_india,by_lead,35,0.1291034424,6.007330092,4.673899288,0.102245469,0.1046247701,0,5
ecmwf,central_india,by_lead,35,0.08703429566,5.652161811,4.423098581,0.4683009107,0.1198378117,0,6
ecmwf,east_northeast_india,by_lead,35,0.492573668,4.700471147,3.608661866,1.059641294,0.02863263607,0,1
ecmwf,east_northeast_india,by_lead,35,0.3530870244,5.308090366,4.211596853,0.7253806299,0.03818886479,0,2
ecmwf,east_northeast_india,by_lead,35,0.2537233015,5.649098195,4.57020403,1.408333927,0.06928336508,0,3
ecmwf,east_northeast_india,by_lead,35,0.181037756,5.598662807,4.594470205,1.400593135,0.1221335715,0,4
ecmwf,east_northeast_india,by_lead,35,0.1552804198,5.337866924,4.425150509,1.037491822,0.1350474062,0,5
ecmwf,east_northeast_india,by_lead,35,0.1376876835,5.163333172,4.261384673,0.896553379,0.1531589479,0,6
ecmwf,india,by_lead,35,0.6599625416,4.512925583,3.123771805,0.5606756461,0.03979515293,0,1
ecmwf,india,by_lead,35,0.4452010628,5.214358749,3.791035429,0.4182834709,0.08895052653,0,2
ecmwf,india,by_lead,35,0.2923308907,5.368225991,3.943019751,0.2203871418,0.1222304595,0,3
ecmwf,india,by_lead,35,0.2130916322,5.400605,3.975425118,0.05536429415,0.1322238451,0,4
ecmwf,india,by_lead,35,0.1384244582,5.57603043,4.134990319,0.07830300588,0.1278862389,0,5
ecmwf,india,by_lead,35,0.08326693775,5.368170584,3.963333968,0.1824094961,0.1312678921,0,6
ecmwf,northwest_india,by_lead,35,0.5319674368,3.732380244,2.586262201,-0.2404210777,0.03677310504,0,1
ecmwf,northwest_india,by_lead,35,0.3116349643,4.476112015,3.241029703,-0.3838870246,0.1265218403,0,2
ecmwf,northwest_india,by_lead,35,0.1625626404,4.755069499,3.496931039,-0.2995648101,0.1697400577,0,3
ecmwf,northwest_india,by_lead,35,0.07485474673,4.591969856,3.434016366,-0.4935472558,0.1596190651,0,4
ecmwf,northwest_india,by_lead,35,0.05071442916,4.623656659,3.443399011,-0.3957314523,0.1528941138,0,5
ecmwf,northwest_india,by_lead,35,0.05546140994,4.388946416,3.249473151,-0.4600525296,0.1371568717,0,6
ecmwf,south_peninsula,by_lead,35,0.5911654453,3.748795593,2.638478897,0.8878945979,0.08929853133,0,1
ecmwf,south_peninsula,by_lead,35,0.4408143448,4.14285513,3.063467517,0.6157829255,0.1157802327,0,2
ecmwf,south_peninsula,by_lead,35,0.2829531585,4.317130708,3.241073682,-0.07781849362,0.1289142463,0,3
ecmwf,south_peninsula,by_lead,35,0.2100632306,4.806567,3.728495038,0.09769437814,0.1212609769,0,4
ecmwf,south_peninsula,by_lead,35,0.1061572162,5.39393835,4.23741869,0.1747087948,0.1158574164,0,5
ecmwf,south_peninsula,by_lead,35,0.1053197464,5.467212405,4.273419254,0.3196753117,0.12234116,0,6
equal_weight,central_india,by_lead,35,0.6237550616,4.465548545,3.219286039,-0.0538285777,0.01437766862,0,1
equal_weight,central_india,by_lead,35,0.3186551905,5.575895146,4.125323426,-0.2962191881,0.05295678095,0,2
equal_weight,central_india,by_lead,35,0.2100400576,5.794293287,4.215388307,-1.0373705,0.09571734394,0,3
equal_weight,central_india,by_lead,35,0.2200503909,5.809105112,4.315066796,-1.272734983,0.1144804557,0,4
equal_weight,central_india,by_lead,35,0.1627059517,5.842577572,4.435406112,-1.070728504,0.09109596204,0,5
equal_weight,central_india,by_lead,35,0.08358923564,5.581945278,4.299861289,-0.4024487382,0.107515715,0,6
equal_weight,east_northeast_india,by_lead,35,0.6056458471,4.205801026,3.422191029,1.411397632,0.03517219025,0,1
equal_weight,east_northeast_india,by_lead,35,0.4932757053,4.810851506,3.828920245,1.021232955,0.03830387959,0,2
equal_weight,east_northeast_india,by_lead,35,0.3688899818,5.451877556,4.495451886,1.531265965,0.07006971324,0,3
equal_weight,east_northeast_india,by_lead,35,0.2514936127,5.486801575,4.619506095,1.898449701,0.1236950256,0,4
equal_weight,east_northeast_india,by_lead,35,0.258629631,5.088874489,4.270676304,1.282200059,0.134486741,0,5
equal_weight,east_northeast_india,by_lead,35,0.21371555,4.858009535,4.046915951,0.7600475284,0.1530872678,0,6
equal_weight,india,by_lead,35,0.6700467763,4.221150634,2.95420655,0.09604965682,0.05393053994,0,1
equal_weight,india,by_lead,35,0.4381577326,5.088855792,3.648585313,-0.255896826,0.09043304657,0,2
equal_weight,india,by_lead,35,0.2669808845,5.427597634,3.874104099,-0.6282702604,0.128133683,0,3
equal_weight,india,by_lead,35,0.172828848,5.520630019,3.986155468,-0.7071262929,0.1446671296,0,4
equal_weight,india,by_lead,35,0.1547294618,5.495597624,3.984627311,-0.6408029576,0.1257954037,0,5
equal_weight,india,by_lead,35,0.1397580949,5.291319367,3.845216208,-0.4324581396,0.1381064951,0,6
equal_weight,northwest_india,by_lead,35,0.5165624376,3.671354302,2.624962616,-0.2309424799,0.0752220294,0,1
equal_weight,northwest_india,by_lead,35,0.2284653124,4.593315409,3.358440125,-0.7022408661,0.1340617378,0,2
equal_weight,northwest_india,by_lead,35,0.07910967233,4.869916397,3.541107004,-1.055192571,0.1802944526,0,3
equal_weight,northwest_india,by_lead,35,-0.008606635339,4.761285077,3.52542371,-1.201165283,0.1918379839,0,4
equal_weight,northwest_india,by_lead,35,-0.004261199978,4.598890596,3.377878153,-1.061284679,0.1600409012,0,5
equal_weight,northwest_india,by_lead,35,0.04040989542,4.424189615,3.237060172,-1.002784159,0.1682675723,0,6
equal_weight,south_peninsula,by_lead,35,0.4826165192,3.849802794,2.681106143,-0.08970690396,0.1081399089,0,1
equal_weight,south_peninsula,by_lead,35,0.3204646247,4.275381638,3.110222203,-0.377447289,0.1224587808,0,2
equal_weight,south_peninsula,by_lead,35,0.2302337682,4.537421083,3.307523499,-0.8292531954,0.1364327033,0,3
equal_weight,south_peninsula,by_lead,35,0.1538318702,4.926169233,3.712255633,-0.8439078832,0.1249462459,0,4
equal_weight,south_peninsula,by_lead,35,0.1206756514,5.273043006,4.09180385,-0.5940254461,0.1163372646,0,5
