provider,product_hint,season_hint,year,init_date,mmdd,forecast_type,variable,level,file_path,extension,size_bytes,nonempty
ecmwf,forecast,jjas,2025,2025-06-21,0621,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250621_cf.nc,.nc,88740,True
ecmwf,forecast,jjas,2025,2025-09-01,0901,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250901_pf.nc,.nc,5940717,True
ecmwf,forecast,jjas,2025,2025-06-11,0611,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250611_pf.nc,.nc,6038230,True
ecmwf,forecast,jjas,2025,2025-06-06,0606,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250606_cf.nc,.nc,88071,True
ecmwf,forecast,jjas,2025,2025-06-28,0628,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250628_pf.nc,.nc,6028054,True
ecmwf,forecast,jjas,2025,2025-06-03,0603,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250603_cf.nc,.nc,88358,True
ecmwf,forecast,jjas,2025,2025-06-27,0627,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250627_cf.nc,.nc,88384,True
ecmwf,forecast,jjas,2025,2025-07-24,0724,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250724_pf.nc,.nc,5992202,True
ecmwf,forecast,jjas,2025,2025-06-30,0630,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250630_pf.nc,.nc,6024433,True
ecmwf,forecast,jjas,2025,2025-06-07,0607,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250607_cf.nc,.nc,88614,True
ecmwf,forecast,jjas,2025,2025-06-01,0601,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250601_cf.nc,.nc,89105,True
ecmwf,forecast,jjas,2025,2025-07-04,0704,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250704_pf.nc,.nc,6004575,True
ecmwf,forecast,jjas,2025,2025-06-22,0622,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250622_cf.nc,.nc,88089,True
ecmwf,forecast,jjas,2025,2025-06-28,0628,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250628_cf.nc,.nc,88797,True
ecmwf,forecast,jjas,2025,2025-06-15,0615,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250615_cf.nc,.nc,88181,True
ecmwf,forecast,jjas,2025,2025-06-22,0622,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250622_pf.nc,.nc,6029959,True
ecmwf,forecast,jjas,2025,2025-06-27,0627,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250627_pf.nc,.nc,6032904,True
ecmwf,forecast,jjas,2025,2025-07-09,0709,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250709_pf.nc,.nc,6009941,True
ecmwf,forecast,jjas,2025,2025-08-21,0821,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250821_cf.nc,.nc,87965,True
ecmwf,forecast,jjas,2025,2025-09-11,0911,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250911_cf.nc,.nc,87501,True
ecmwf,forecast,jjas,2025,2025-07-06,0706,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250706_pf.nc,.nc,6005833,True
ecmwf,forecast,jjas,2025,2025-06-02,0602,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250602_pf.nc,.nc,6045213,True
ecmwf,forecast,jjas,2025,2025-06-10,0610,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250610_pf.nc,.nc,6035507,True
ecmwf,forecast,jjas,2025,2025-09-29,0929,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250929_cf.nc,.nc,87062,True
ecmwf,forecast,jjas,2025,2025-06-24,0624,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250624_cf.nc,.nc,88065,True
ecmwf,forecast,jjas,2025,2025-08-14,0814,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250814_cf.nc,.nc,87654,True
