variable,region,week,lead_week,model,n,pcc_mean,pcc_std,rmse_mean,rmse_std,bias_mean,bias_std,obs_mean,fcst_mean
Z500,south_peninsula,Week 2,2,ECMWF,12,0.7671423249796215,0.42468438463225966,8.449274584113445,4.986286727696309,-5.027546433886968,7.867425305104311,5851.923758058707,5846.896211624819
Z500,south_peninsula,Week 2,2,FuXi,12,0.8331641926311185,0.3387287374857313,6.4215159668596415,2.9243619656609323,-0.9078289414933068,6.5117965631524095,5851.923758058707,5851.015929117214
Z500,south_peninsula,Week 3,3,ECMWF,12,0.8256378596170307,0.3898859277348853,8.961415065378809,4.462321857823391,-4.878340903224275,7.899088364860397,5853.106236440643,5848.2278955374195
Z500,south_peninsula,Week 3,3,FuXi,12,0.7855889902874242,0.41422419511894165,8.371046180984704,3.7229873470387256,-3.2949580383160275,7.830943399328776,5853.106236440643,5849.811278402328
Z500,south_peninsula,Week 4,4,ECMWF,12,0.7561083307055939,0.42514677843048326,8.29051443446841,5.34248031371586,-2.9521548766280152,8.12424019811733,5852.725179939666,5849.773025063038
Z500,south_peninsula,Week 4,4,FuXi,12,0.7271085300867585,0.4204817928547792,9.797241430079795,5.261405675777514,-4.252895960664575,8.527750093179083,5852.725179939666,5848.472283979002
Z500,south_peninsula,Week 5,5,ECMWF,12,0.7895107989869022,0.4333974103943132,7.623028766992373,3.4670478358395087,-0.6137007826960786,6.955155946387012,5851.683218242477,5851.069517459781
Z500,south_peninsula,Week 5,5,FuXi,12,0.7636913936901207,0.3924044449765104,6.234942706110573,3.813948744245638,0.077911041831444,5.399477424116525,5851.683218242477,5851.761129284309
Z500,south_peninsula,Week 6,6,ECMWF,12,0.9082328104093844,0.20465199892989225,8.51225753509573,3.5869516260230263,1.3587694917242075,7.963244436684229,5851.415624743484,5852.774394235209
Z500,south_peninsula,Week 6,6,FuXi,12,0.824268277251394,0.22432574377134248,8.648263225852093,5.2350878244212815,0.5003595640080039,8.945553054935651,5851.415624743484,5851.915984307492
