year,fuxi_init,ecmwf_init,valid_start,valid_end,model,variable,region,week,fuxi_lead_start,fuxi_lead_end,ecmwf_lead_start,ecmwf_lead_end,pcc,rmse,bias,obs_mean,fcst_mean
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,Z500,All India,Week 6,36,42,34,40,0.9264054071318213,9.095044070134563,-7.440565614662718,5846.499665662234,5839.059100047571
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,Z500,northwest_india,Week 6,36,42,34,40,0.8514319837006961,12.356470138558135,-11.929914374389105,5853.390727502445,5841.460813128055
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,Z500,central_india,Week 6,36,42,34,40,0.8774006237199823,5.3063866397641775,-3.1747158508950606,5835.357919272058,5832.183203421163
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,Z500,south_peninsula,Week 6,36,42,34,40,0.990539087666979,7.170015628744375,-5.892669968243252,5849.777442627234,5843.884772658991
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,Z500,east_northeast_india,Week 6,36,42,34,40,0.9704105256113338,9.672550952172456,-9.30956384473496,5852.830452335298,5843.520888490563
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,TP,All India,Week 1,1,7,2,8,0.9492768955437394,2.221888061135164,-0.9033452509030528,6.617229904100949,5.713884653197896
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,TP,northwest_india,Week 1,1,7,2,8,0.7967645551877401,0.980005929189186,-0.640192210986168,1.9786249443063548,1.3384327333201869
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,TP,central_india,Week 1,1,7,2,8,0.9570578036486884,2.0893700486766993,-0.7927582036210018,8.93110914190628,8.138350938285278
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,TP,south_peninsula,Week 1,1,7,2,8,0.8795687980763885,1.8148028917251842,-0.6058882336550131,5.697132899257771,5.091244665602757
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,TP,east_northeast_india,Week 1,1,7,2,8,0.9106658597985823,4.119728375412356,-2.1009699127851635,12.605949053215385,10.504979140430223
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,TP,All India,Week 1,1,7,2,8,0.8370522107459931,5.505619698612305,0.27803992508146497,6.617229904100949,6.895269829182413
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,TP,northwest_india,Week 1,1,7,2,8,0.7439479033169538,1.789864345903062,0.2818671391630677,1.9786249443063548,2.260492083469422
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,TP,central_india,Week 1,1,7,2,8,0.9478266679161126,3.7873916807390247,-2.705902141822753,8.93110914190628,6.225207000083526
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,TP,south_peninsula,Week 1,1,7,2,8,0.6962514370874111,2.7957312244811727,-0.06553101844407512,5.697132899257771,5.631601880813696
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,TP,east_northeast_india,Week 1,1,7,2,8,0.9661798997742767,12.409743627539834,7.515995279743308,12.605949053215385,20.121944332958694
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,Z500,All India,Week 1,1,7,2,8,0.984261581265662,2.706700378838255,0.5092531533940582,5851.541939685217,5852.05119283861
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,Z500,northwest_india,Week 1,1,7,2,8,0.9965194191140927,3.6747123986351835,3.35394842374403,5838.319649016698,5841.673597440444
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,Z500,central_india,Week 1,1,7,2,8,0.1996429836224849,2.4230707244626104,-0.5981620288870957,5857.209645466563,5856.611483437678
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,Z500,south_peninsula,Week 1,1,7,2,8,0.9833867943031523,1.7211802953265805,-1.5057236387666875,5861.565657190188,5860.059933551422
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,FuXi,Z500,east_northeast_india,Week 1,1,7,2,8,0.9805509815185971,1.6091223477601406,-0.6658907723101387,5854.9960982769435,5854.330207504632
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,Z500,All India,Week 1,1,7,2,8,0.9683453196775732,4.724539404952364,2.8148288055915662,5851.541939685217,5854.3567684908085
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,Z500,northwest_india,Week 1,1,7,2,8,0.9915021834053789,5.5050869597744105,4.525412621745008,5838.319649016698,5842.845061638443
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,Z500,central_india,Week 1,1,7,2,8,0.3483073392381913,4.1874557648507205,3.5288267786143006,5857.209645466563,5860.738472245178
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,Z500,south_peninsula,Week 1,1,7,2,8,0.4403833282822108,4.576893535867534,-2.478202150866257,5861.565657190188,5859.087455039322
2019,2019-06-23,2019-06-22,2019-06-24,2019-06-30,ECMWF,Z500,east_northeast_india,Week 1,1,7,2,8,0.9685645859980101,4.186696900493967,4.033721634381636,5854.9960982769435,5859.029819911324
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,TP,All India,Week 2,8,14,9,15,0.766528970132382,5.472152858425507,-0.3070636184557896,10.758797999258851,10.45173438080306
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,TP,northwest_india,Week 2,8,14,9,15,0.6165962314251427,5.526787275280531,1.4620154245791792,5.893749196384237,7.3557646209634155
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,TP,central_india,Week 2,8,14,9,15,0.5979804640032687,6.889454141490846,-3.0415853775400974,17.349780371377683,14.308194993837587
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,TP,south_peninsula,Week 2,8,14,9,15,0.7922100503390743,3.939358481331026,1.2548543384847997,4.385875829896604,5.640730168381404
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,TP,east_northeast_india,Week 2,8,14,9,15,0.8598483094236014,2.558769935435051,0.13419743694419994,14.253729129150768,14.387926566094967
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,TP,All India,Week 2,8,14,9,15,0.7560507443266888,5.588897886868763,-0.49903394085075703,10.758797999258851,10.259764058408095
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,TP,northwest_india,Week 2,8,14,9,15,0.7046708044087739,5.117444228486406,-0.9792465944527478,5.893749196384237,4.914502601931488
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,TP,central_india,Week 2,8,14,9,15,0.42917091390266016,7.436264818251298,-2.4598535599242757,17.349780371377683,14.889926811453407
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,TP,south_peninsula,Week 2,8,14,9,15,0.9663863771116715,4.213998875139097,3.54667191506472,4.385875829896604,7.932547744961324
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,TP,east_northeast_india,Week 2,8,14,9,15,0.8882947302656538,2.0115258441990185,-0.0038701060709397965,14.253729129150768,14.249859023079829
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,Z500,All India,Week 2,8,14,9,15,0.7835807491291287,12.453515480286288,10.06596525146307,5836.826209046165,5846.892174297626
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,Z500,northwest_india,Week 2,8,14,9,15,0.41133571288375453,16.54143689447073,15.782986276978301,5835.297102064612,5851.08008834159
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,Z500,central_india,Week 2,8,14,9,15,0.8321183791452103,10.188155310863172,8.762267548020505,5829.249585099151,5838.011852647172
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,Z500,south_peninsula,Week 2,8,14,9,15,0.9867132228105815,4.139635396855349,0.011752550284425964,5850.531069922696,5850.5428224729785
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,FuXi,Z500,east_northeast_india,Week 2,8,14,9,15,0.9849926786469787,13.604590309521985,13.069818689080229,5840.425466349048,5853.495285038129
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,Z500,All India,Week 2,8,14,9,15,0.6837947677199947,11.000064820404168,6.7731371625443275,5836.826209046165,5843.599346208706
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,Z500,northwest_india,Week 2,8,14,9,15,0.5653817250685611,13.928311263123266,13.229768728235813,5835.297102064612,5848.526870792848
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,Z500,central_india,Week 2,8,14,9,15,0.7870619346019593,8.046915372965392,5.927919652003408,5829.249585099151,5835.177504751155
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,Z500,south_peninsula,Week 2,8,14,9,15,0.9908447231789784,8.38700836568564,-7.160431178043125,5850.531069922696,5843.370638744652
2019,2019-06-23,2019-06-22,2019-07-01,2019-07-07,ECMWF,Z500,east_northeast_india,Week 2,8,14,9,15,0.9913294801216092,12.37517295877457,11.94134284179426,5840.425466349048,5852.366809190843
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,TP,All India,Week 3,15,21,16,22,0.8922702546117508,8.502506050710466,-2.5095658354383836,9.948861058826134,7.43929522338775
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,TP,northwest_india,Week 3,15,21,16,22,0.8353765255066808,6.434571050067692,-0.7665879852575569,7.185659725395951,6.419071740138393
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,TP,central_india,Week 3,15,21,16,22,0.6553773563524553,3.240177275089237,0.7274390373594621,5.456776390129899,6.184215427489362
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,TP,south_peninsula,Week 3,15,21,16,22,0.9245838168442339,2.42128437618767,-1.9650794949957988,4.856386985573928,2.891307490578128
2019,2019-06-23,2019-06-22,2019-07-08,2019-07-14,FuXi,TP,east_northeast_india,Week 3,15,21,16,22,0.8874468440819165,19.069138522201126,-14.391082529588706,32.586238856650006,18.195156327061298
