season,variable,model,region,init_date,scale,lead,week,pcc,rmse,bias,msss_clim,msss_pers,fcst_std,obs_std,fcst_mean,obs_mean,std_ratio
JJAS2019,TP,Persistence,east_northeast_india,2019-07-11,daily,24,Week 4,-0.35797161560696283,22.03607137337167,16.428210514305626,-4.7511595910992055,0.0,9.532060166370032,8.270486475070161,26.399657255910746,9.97144674160512,1.1525392363680964
JJAS2019,TP,Persistence,east_northeast_india,2019-07-14,daily,24,Week 4,-0.3049355660834021,31.08507799767668,22.038816135028032,-8.591461792708216,0.0,17.211255812080726,9.308125946124829,32.046530165317826,10.007714030289794,1.8490570402354878
JJAS2019,TP,Persistence,east_northeast_india,2019-07-18,daily,24,Week 4,-0.3999195557508154,22.376015127212817,11.274242052002457,-2.957736679605927,0.0,13.548458846534746,9.393009068489443,18.62478631799538,7.350544265992923,1.4423981439542644
JJAS2019,TP,Persistence,east_northeast_india,2019-07-21,daily,24,Week 4,-0.5913361060854887,19.28077803119822,-7.120027128347504,-0.9780975458765464,0.0,6.31806243648047,13.442205719716194,8.933510080557568,16.05353720890507,0.47001679398593993
JJAS2019,TP,Persistence,east_northeast_india,2019-07-25,daily,24,Week 4,-0.3767628967639892,15.200255688693872,2.611643290103024,-0.9743618411112327,0.0,7.165197589052974,10.723339025124988,14.214871694800042,11.603228404697017,0.6681871730684612
JJAS2019,TP,Persistence,east_northeast_india,2019-07-28,daily,24,Week 4,-0.020230085031061603,16.90546978010032,11.56935203996038,-1.3939053974224138,0.0,7.730435695265998,9.446207217139065,18.843126421761447,7.273774381801067,0.818363975886534
JJAS2019,TP,Persistence,east_northeast_india,2019-08-01,daily,24,Week 4,-0.15408893615390262,13.14870997858326,8.581569875417868,-0.6247674263535399,0.0,4.652386048760381,8.121357029933145,14.649877156440235,6.068307281022369,0.5728582097318137
JJAS2019,TP,Persistence,east_northeast_india,2019-08-04,daily,24,Week 4,-0.08735273215460503,9.351427139962393,2.928952010228214,-0.25812309025332425,0.0,4.538651287236835,7.247374290503941,10.995274887717644,8.06632287748943,0.6262476733378763
JJAS2019,TP,Persistence,east_northeast_india,2019-08-08,daily,24,Week 4,0.5019465976441797,7.826416101710176,4.656865028814346,0.3202664516238758,0.0,4.430231895401889,7.212172573557638,10.340722606956675,5.683857578142329,0.6142714764819519
JJAS2019,TP,Persistence,east_northeast_india,2019-08-11,daily,24,Week 4,-0.060172159593328514,7.386822128358631,2.8321160387370052,-1.1273243907590027,0.0,5.768280671128859,3.3123730883313147,10.568262215589213,7.736146176852206,1.7414344692779655
JJAS2019,TP,Persistence,east_northeast_india,2019-08-15,daily,24,Week 4,-0.15145848190366135,12.882974397529178,-0.6435222861104386,-0.34238561566047987,0.0,5.608672404019207,10.761777332341774,13.251935381383216,13.895457667493655,0.5211659961746071
JJAS2019,TP,Persistence,east_northeast_india,2019-08-18,daily,24,Week 4,0.10936423650982462,10.628913933031416,-2.5554231207772666,0.04376902860274934,0.0,6.422745189614302,8.807069154497793,14.539960177180344,17.095383297957607,0.7292715745662324
JJAS2019,TP,Persistence,east_northeast_india,2019-08-22,daily,24,Week 4,-0.2212395699002977,17.417438547051407,-4.748610462765724,-0.35118437172329586,0.0,6.341096433963556,14.171965893598355,10.344304181209028,15.09291464397475,0.4474394365306725
JJAS2019,TP,Persistence,east_northeast_india,2019-08-25,daily,24,Week 4,0.039490753048871445,10.832563082180874,3.802195198079149,-0.402247678114104,0.0,5.696413225364848,8.620741258273599,10.593115458717868,6.79092026063872,0.6607799787399744
JJAS2019,TP,Persistence,east_northeast_india,2019-08-29,daily,24,Week 4,-0.10679727144499507,8.709537279482921,-2.646685941984048,-0.7578799924605581,0.0,5.096673720170621,6.0261750131467045,9.273189521156164,11.919875463140214,0.8457560075921653
JJAS2019,TP,Persistence,east_northeast_india,2019-09-01,daily,24,Week 4,0.4432579151136122,14.827479807033543,-9.293453330693245,-0.07803033668931114,0.0,3.7436098605757047,12.714918403006829,6.038369644397588,15.33182297509083,0.2944265737238561
