season,variable,model,region,init_date,scale,lead,week,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JJAS2019,TP,FuXi,central_india,2019-09-26,daily,42,Week 6,1.4088453316883376,3.3306764181991255,8.683859847948927,0.5770092453321867,0.8377627741169615,1.8542490689578595,3.0407532986485033,0.6097992460559037
JJAS2019,TP,FuXi,central_india,2019-09-29,daily,42,Week 6,0.6703416005111041,3.0806613222937007,11.444569950492857,0.7824033444831895,0.9414271044337288,2.340384443784791,0.8911211530865422,2.6263369864787647
JJAS2019,TP,FuXi,central_india,2019-06-02,weekly,1,Week 1,0.43899365403872964,3.409569391193755,0.8505332586580373,0.8712465993000278,0.4838606843765647,0.1291734609116515,0.900584684837771,0.1434328865307325
JJAS2019,TP,FuXi,central_india,2019-06-06,weekly,1,Week 1,0.590814802730115,3.4757274804579446,1.8324196158603694,0.8300169371586428,0.6775766873393179,0.31507230304944317,0.963543938840801,0.32699318666099786
JJAS2019,TP,FuXi,central_india,2019-06-09,weekly,1,Week 1,1.9128872239160712,3.537159521997574,1.9638757784822864,0.4592024442155246,0.025963227982586545,0.9930580999939133,4.151884038376889,0.23918252311838
JJAS2019,TP,FuXi,central_india,2019-06-13,weekly,1,Week 1,1.828797818284028,3.7518904432796405,2.735365331630314,0.5125663059912217,0.3314246557354589,0.6406981095403002,3.0391411458097006,0.21081551622690517
JJAS2019,TP,FuXi,central_india,2019-06-16,weekly,1,Week 1,3.0531845380296696,3.625798035995775,4.40869596596371,0.15792757684829095,0.3074631225194353,1.1056062620966858,4.436444630405861,0.24920997650218418
JJAS2019,TP,FuXi,central_india,2019-06-20,weekly,1,Week 1,3.136847156255957,3.455862559689071,5.5714559080513695,0.0923113688473236,0.4369789139454795,0.45011714224329585,5.475366565073761,0.0822076726541928
JJAS2019,TP,FuXi,central_india,2019-06-23,weekly,1,Week 1,2.5867468283815134,4.166086262937159,7.986968946472648,0.37909427094824133,0.676129099071567,0.7591856801616641,4.858538586287598,0.15625803246769246
JJAS2019,TP,FuXi,central_india,2019-06-27,weekly,1,Week 1,4.676406148279762,5.360218536130022,9.180621472771035,0.12757173671951816,0.4906220497000561,1.207591369585533,6.726176742048342,0.17953607463751864
JJAS2019,TP,FuXi,central_india,2019-06-30,weekly,1,Week 1,5.465907215446039,6.542753509706028,12.851119107777551,0.16458610165620813,0.5746746124127003,1.1930158285942116,8.250763176336731,0.14459460332297414
JJAS2019,TP,FuXi,central_india,2019-07-04,weekly,1,Week 1,5.01861331268163,4.124402536713484,6.981931580576187,-0.21680977256907008,0.28119987216095477,0.5372664790790336,7.885777491501416,0.06813107263780284
JJAS2019,TP,FuXi,central_india,2019-07-07,weekly,1,Week 1,2.4917386932413037,4.275021189613441,13.112092752223122,0.41714003680374423,0.8099663615620141,0.25223364398603987,4.346222008945132,0.05803514948543995
JJAS2019,TP,FuXi,central_india,2019-07-11,weekly,1,Week 1,1.4160705833074494,5.4687632394230485,11.248135406950142,0.7410620059213161,0.8741061934200695,0.21646470910666005,2.7046803017772465,0.0800333810115824
JJAS2019,TP,FuXi,central_india,2019-07-14,weekly,1,Week 1,1.8378747882347837,4.499371865056984,4.5124408046777,0.5915263633779452,0.5927093854993952,0.4961632241550518,2.881674244020079,0.17217880375780414
JJAS2019,TP,FuXi,central_india,2019-07-18,weekly,1,Week 1,2.1880054367929795,3.887825166143192,6.6206253583489,0.43721609298508424,0.6695168026636927,0.42342462822371857,4.219147356508483,0.10035786675488854
JJAS2019,TP,FuXi,central_india,2019-07-21,weekly,1,Week 1,6.040376171286424,4.010048218233691,9.046122634390848,-0.5063101096442759,0.33226903775076067,0.9789784364431697,9.536156457937116,0.1026596449797495
JJAS2019,TP,FuXi,central_india,2019-07-25,weekly,1,Week 1,7.265333708564837,7.141299563845742,12.970219337161533,-0.017368567668977652,0.4398449617772756,0.9463631096062137,11.039361520026926,0.08572625399479675
JJAS2019,TP,FuXi,central_india,2019-07-28,weekly,1,Week 1,7.5380219054283675,7.905722563569965,10.274553901614674,0.046510695914878664,0.2663407114693567,0.9107137233065424,11.290661581509687,0.08066079358874645
JJAS2019,TP,FuXi,central_india,2019-08-01,weekly,1,Week 1,7.017330110429971,8.591078801320815,10.570292431705179,0.18318405956757045,0.3361271548758893,1.4752997627233773,11.789876886528843,0.12513275388049727
JJAS2019,TP,FuXi,central_india,2019-08-04,weekly,1,Week 1,8.510538049749291,7.883475185805,12.35439513607771,-0.07954142673948938,0.3111327623886224,1.1304050800455638,13.929469468844006,0.08115205554482435
JJAS2019,TP,FuXi,central_india,2019-08-08,weekly,1,Week 1,7.557050769539055,5.488565811171044,11.870874258481278,-0.37687166912674375,0.36339560128523507,0.760913867276835,11.789638664344016,0.06454089806654585
JJAS2019,TP,FuXi,central_india,2019-08-11,weekly,1,Week 1,3.617458516844594,4.419881413301702,15.111924158122953,0.18154851260085947,0.7606222424759762,0.8960820576307219,6.521546518589899,0.1374033068807235
JJAS2019,TP,FuXi,central_india,2019-08-15,weekly,1,Week 1,1.6228905570643697,3.6639973610761842,12.363915660753516,0.557071035502139,0.8687397583747782,0.6043423125893979,2.5464418290477306,0.23732814380267944
JJAS2019,TP,FuXi,central_india,2019-08-18,weekly,1,Week 1,2.342460547955669,3.7735628922059634,5.456820372566212,0.37924433357295806,0.5707279353133508,0.7492743495200945,3.7254804779048287,0.20112153424609505
JJAS2019,TP,FuXi,central_india,2019-08-22,weekly,1,Week 1,3.41291869184137,4.018262712045914,4.686695778769127,0.15064819390475614,0.27178574139546363,0.8094434332153179,4.765854838226686,0.16984223411985025
JJAS2019,TP,FuXi,central_india,2019-08-25,weekly,1,Week 1,3.115591967531985,3.634223482137794,5.57592314660954,0.14270765602470037,0.4412419458423792,0.6413843601416733,4.463355441652806,0.14370004104001294
JJAS2019,TP,FuXi,central_india,2019-08-29,weekly,1,Week 1,4.57433146174736,4.94801062460402,8.28544373484092,0.07552109144603236,0.44790748593078367,0.6269760139687763,7.102101560331705,0.08828035035019878
JJAS2019,TP,FuXi,central_india,2019-09-01,weekly,1,Week 1,7.4649072803408325,8.15547621803195,10.779503547466076,0.08467548911052591,0.3074906235273146,0.9984775493516739,11.474641164350514,0.08701601514596814
JJAS2019,TP,FuXi,central_india,2019-09-05,weekly,1,Week 1,6.532559567282054,7.671281217054806,8.234764725859966,0.14843956538070113,0.20670962865914166,1.7171699055199507,9.654093336301365,0.17786961920733052
JJAS2019,TP,FuXi,central_india,2019-09-08,weekly,1,Week 1,5.796711445772209,6.256766528542909,14.136421117510269,0.07352920724658063,0.5899449091402609,1.0732454146731016,9.82342511928187,0.10925368714487234
JJAS2019,TP,FuXi,central_india,2019-09-12,weekly,1,Week 1,3.961834794602422,4.920045225475574,13.086043835793781,0.19475642742298793,0.6972473236131336,0.5620180401129274,7.336828828665993,0.07660231051282622
JJAS2019,TP,FuXi,central_india,2019-09-15,weekly,1,Week 1,3.3569652037799522,3.7909168130377644,8.76690355813483,0.11447141434635566,0.6170865595224877,0.7462795147139304,4.606629418168706,0.16200120456196848
JJAS2019,TP,FuXi,central_india,2019-09-19,weekly,1,Week 1,2.7878768209506224,4.16070883927458,5.620494799302484,0.32995147494226273,0.5039801795926215,0.9413464125360633,4.07853048354925,0.23080529036940717
JJAS2019,TP,FuXi,central_india,2019-09-22,weekly,1,Week 1,3.9982069042290904,5.507161158419913,6.296053793407379,0.2739985649201092,0.36496620972082106,1.2381601005735632,5.845876961874126,0.2118005747723815
JJAS2019,TP,FuXi,central_india,2019-09-26,weekly,1,Week 1,2.9214711617480136,4.3794906522593475,6.076067107662263,0.33291987728279593,0.5191838552829883,0.6124103515427322,4.325907758519871,0.14156805593845376
JJAS2019,TP,FuXi,central_india,2019-09-29,weekly,1,Week 1,1.8819514150083696,3.273921218753839,7.539129138516817,0.4251689978891119,0.7503754902680168,0.2381863763983792,2.9399280122124236,0.08101775805698508
JJAS2019,TP,FuXi,central_india,2019-06-02,weekly,2,Week 2,0.8990383621324793,3.537159521997574,2.140321907591762,0.7458304165980174,0.5799518012016915,1.7385169587213152,1.7149225836922188,1.013758274136374
