region,lead_day,valid_date,imd_mean,imd_p10,imd_p25,imd_p75,imd_p90,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90
South Peninsula,1,2026-06-24,3.608891922732194,0.5875519812107086,1.539407730102539,5.521820068359375,6.9818934440612805,4.5851846,4.323236465454102,4.812399244308471,7.276220414017171,4.431111134595109,10.71472032520453
South Peninsula,2,2026-06-25,6.910215368370215,1.1236429989337922,3.101646840572357,9.614446759223938,12.286189413070678,8.548118,8.132187366485596,9.132704544067384,13.427941019917363,8.835149351033348,17.432115609044892
South Peninsula,3,2026-06-26,10.5305283014973,2.2555978864431383,4.860051274299622,14.867389500141144,16.705606698989868,12.897889,12.05945873260498,13.737602615356446,24.25686321021658,15.932221327754247,31.80718908044578
South Peninsula,4,2026-06-27,14.02253613124291,4.340723015367986,6.340707629919052,18.32212322950363,22.618412494659427,19.299227,17.761837768554688,20.614756202697755,37.410711581868576,24.517123650796734,50.13983626362107
South Peninsula,5,2026-06-28,18.610085613032183,5.537034924328327,10.675813682377338,24.504929542541504,30.62208963632584,27.185715,25.702239418029784,28.758898162841795,51.381619372117136,33.97920648464008,67.20762460423492
South Peninsula,6,2026-06-29,23.181397081911562,9.354230707883836,13.841154657304287,29.905834019184113,36.379061341285706,34.91899,32.871044921875,36.870133590698245,65.12312048066372,43.521858788522486,87.54638967519789
South Peninsula,7,2026-06-30,27.895677833755812,11.85918635725975,16.377341844141483,38.56948786973953,41.570248222351076,43.817963,41.40612258911133,46.42735137939453,76.37201245309744,52.91983637287822,102.54165378823713
South Peninsula,8,2026-07-01,32.01248048394918,13.921136623620987,22.45522604137659,43.78211349248886,47.822961521148684,52.51691,50.06980094909668,55.72648468017578,85.37691266023727,59.69477072177807,108.71483552883362
South Peninsula,9,2026-07-02,36.151449254651865,16.36480900645256,27.70225665718317,47.607660353183746,51.29422550201417,59.462223,56.646779251098636,62.78897705078125,93.97142633782224,66.7497297486841,120.72319819528492
South Peninsula,10,2026-07-03,40.62069126317898,16.948258858919143,31.445293098688126,51.53062525391579,59.26889429092408,65.14513,60.80154037475586,68.7242416381836,102.6803613566513,78.21465760705978,133.24012573965908
South Peninsula,11,2026-07-04,44.839093754688896,19.076904563605787,34.148162603378296,57.66994512081146,68.10072779655457,69.103615,63.38370552062988,72.40549011230469,111.67081388026186,88.01165919861664,141.57596559606793
South Peninsula,12,2026-07-05,48.645078342159586,19.81746193021536,38.212588757276535,62.86574196815491,71.56201868057252,72.08293,65.81260986328125,75.44279327392579,120.25684676501687,97.39673049054929,151.90186218649603
