init,var,week,accA,accB,rmseA,rmseB,biasA,biasB
2026-02-19,Z500,Week 2,0.6882350249286039,0.5565515490792294,20.874946977967387,26.229893200477502,-2.0310807984297536,-3.8074278480167867
2026-02-19,Z500,Week 3,0.8408825364917614,0.2842828127259545,45.500656523879215,56.98852143333281,-34.04202845131312,-42.603347375189415
2026-02-19,Z500,Week 4,0.5502620033064307,-0.28013553702257643,41.776713446873316,51.4866375971953,40.73609274030188,43.857539346940534
2026-02-19,Z500,Week 5,0.5997404268776654,0.5129589556919809,39.419651146423526,45.613568877641114,37.87607736307347,40.4407062019606
2026-02-19,Z500,Week 6,0.640345755847049,0.38351555605749027,26.344481447380286,49.3241383694176,24.004883113330546,37.77786452517524
2026-02-26,TP,Week 1,0.8471649086973584,0.8384367761563314,0.6920811192849254,0.7177381379408764,0.061124922914752924,0.08886100100344682
2026-02-26,TP,Week 2,0.4213679628407505,0.3150497100247713,1.5384030702823495,1.6872285796511912,0.13782794320964162,0.2552333439105458
2026-02-26,TP,Week 3,0.15747098872977514,0.3421450550912441,3.787835163289465,3.627090341658201,-1.1379714887843377,-1.0753026323803032
2026-02-26,TP,Week 4,0.24056367959021552,0.17814704003221107,2.0414737538947976,2.1669816342413806,-0.3513077245015609,-0.4156876839668301
2026-02-26,TP,Week 5,0.0343188839730552,0.005445292715635142,2.597708263005426,2.7439550608028793,-0.7367889045512926,-0.8077017804433153
2026-02-26,TP,Week 6,0.05226089425589309,-0.007638562876248457,2.748812640369992,2.8420847295923086,-0.8578133115096459,-0.8321923219731311
2026-02-26,Z500,Week 1,0.9901269817915627,0.7988375528174991,5.326371496541939,24.846024509958436,3.1223820647502736,1.344976278835052
2026-02-26,Z500,Week 2,0.8821608819672154,0.6138970478102951,28.642948380798845,39.64038591555852,-17.550103263589563,-26.11185264778121
2026-02-26,Z500,Week 3,0.5472172336887128,-0.3395325763867417,37.996455891014655,48.93974515361714,37.08362895764801,40.20439787369395
2026-02-26,Z500,Week 4,0.5410958311293341,0.43861917578085413,35.28069311828661,41.183701449085476,33.7322477093915,36.29802614673659
2026-02-26,Z500,Week 5,0.667867434464771,0.36773592277967126,26.68481455533458,48.97794135904066,24.690528597363556,38.46497716744085
2026-02-26,Z500,Week 6,-0.06231172972944362,-0.3555111374446871,58.20970495543494,79.32955511531222,47.84995011108414,60.12352687804044
2026-03-05,TP,Week 1,0.7281997284211087,0.7143000596427793,1.2114965538614553,1.2240628043552886,-0.10646671574297596,0.010938704410110767
2026-03-05,TP,Week 2,0.6758481187013885,0.6958433843449316,2.8563612840918227,2.752181448793111,-0.6088981458857267,-0.5462292862246642
2026-03-05,TP,Week 3,0.24264456381518706,0.2025664406755195,2.1152252165164165,2.215032299285123,0.2115599032463118,0.14717992732910912
2026-03-05,TP,Week 4,0.22703827705763882,0.16311485299023665,2.356897524883005,2.509227671950705,-0.48885660219901667,-0.5597695385772271
2026-03-05,TP,Week 5,0.1934442386037952,0.12328206413653219,2.6020080966467782,2.6945576313676423,-0.8657597173795144,-0.840138728328163
2026-03-05,TP,Week 6,0.6032309457807215,0.5329077216274747,1.4408463442774953,1.55041411855579,0.6780647919941946,0.7676463870948108
